Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-6-7
Year//Month,2018//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2018//2//27,58,06::49:54,17::58:03,12::23:26,6.304,15.394,4.058,3.1590000000000003,5.05,3.177,-,-,2.0100000000000002,3.1590000000000003,4.749,3.1590000000000003,2.048,3.16,18.666,4.813,49.951,2.563,0.28031249999999996,1.3900000000000001,-4.79,7.5,-,-,-0.0405,0.023,0.,0.,-,-,0.,0.,-0.0726,0.0402,-
2018//2//28,59,06::48:13,17::59:06,12::23:15,6.375,15.541,1.483,3.1590000000000003,1.468,3.176,-,-,0.005,3.1390000000000002,0.009000000000000001,3.22,1.478,3.162,0.674,105.415,13.211,6.121,1.8488194444444446,4.89,-1.1,7.05,-,-,-0.0327,0.0135,0.,0.,-,-,0.,0.,-0.0614,0.032100000000000004,-
2018//3//1,60,06::46:23,18::00:22,12::23:03,6.447,15.620000000000001,3.0300000000000002,3.16,3.744,3.177,-,-,1.873,3.1590000000000003,3.028,3.1590000000000003,1.157,3.169,12.502,5.7620000000000005,39.487,3.049,0.8202499999999999,7.78,-0.09,11.53,-,-,-0.055900000000000005,0.021500000000000002,0.,0.,-,-,0.,0.,-0.10060000000000001,0.06960000000000001,-
2018//3//2,61,06::44:46,18::01:34,12::22:51,6.519,15.659,3.676,3.16,4.261,3.177,-,-,1.5270000000000001,3.16,3.193,3.1590000000000003,2.149,3.162,13.886000000000001,6.261,39.33,3.04,1.5676458333333336,5.99,-3.0100000000000002,8.92,-,-,-0.0616,0.029500000000000002,0.,0.,-,-,0.,0.,-0.1019,0.0687,-
2018//3//3,62,06::43:09,18::02:47,12::22:38,6.591,15.72,4.619,3.16,5.735,3.177,-,-,2.83,3.1590000000000003,5.16,3.1590000000000003,1.7890000000000001,3.164,22.26,4.239,60.342,2.613,0.9501805555555554,5.73,-0.9,11.47,-,-,-0.0746,0.0369,0.,0.,-,-,0.,0.,-0.11800000000000001,0.0756,-
2018//3//4,63,06::41:33,18::04:00,12::22:25,6.663,15.780000000000001,2.872,3.16,3.173,3.177,-,-,0.633,3.161,1.297,3.158,2.238,3.1630000000000003,8.992,10.425,30.909,3.517,0.2172638888888889,2.1,-1.47,10.52,-,-,-0.07010000000000001,0.0369,0.,0.,-,-,0.,0.,-0.1105,0.07350000000000001,-
2018//3//5,64,06::39:53,18::05:11,12::22:12,6.736,15.82,4.977,3.302,6.418,3.177,-,-,4.392,3.287,8.839,3.464,0.585,3.423,25.296,3.745,64.297,2.476,0.3959583333333335,2.4,-4.94,12.82,-,-,-0.0835,0.0455,0.,0.,-,-,0.,0.,-0.1257,0.0752,-
2018//3//6,65,06::38:14,18::06:21,12::21:58,6.809,15.904,4.312,3.1590000000000003,5.292,3.177,-,-,2.498,3.158,5.003,3.1590000000000003,1.814,3.162,19.848,4.715,51.895,2.593,0.3319861111111111,1.94,-3.2800000000000002,15.030000000000001,-,-,-0.051500000000000004,0.0323,0.,0.,-,-,0.,0.,-0.0873,0.0708,-
2018//3//7,66,06::36:36,18::07:32,12::21:43,6.881,15.962,2.501,3.161,2.725,3.177,-,-,0.556,3.16,0.854,3.1590000000000003,1.945,3.164,6.619,12.673,26.322,3.922,1.464625,6.8,2.7800000000000002,18.95,-,-,-0.0545,0.0475,0.,0.,-,-,0.,0.,-0.0799,0.0726,-
2018//3//8,67,06::34:54,18::08:44,12::21:29,6.954,16.002,6.148,3.16,7.389,3.177,-,-,3.969,3.1590000000000003,7.115,3.1590000000000003,2.179,3.1630000000000003,29.321,3.265,72.991,2.435,1.7779999999999998,7.08,7.08,18.740000000000002,-,-,-0.0702,0.0327,0.,0.,-,-,0.,0.,-0.10790000000000001,0.0664,-
2018//3//9,68,06::33:14,18::09:55,12::21:14,7.027,16.063,2.947,3.161,3.35,3.177,-,-,1.268,3.1590000000000003,2.446,3.1590000000000003,1.68,3.1670000000000003,10.341000000000001,7.479,32.053,3.338,0.394138888888889,3.15,2.35,14.09,-,-,-0.038200000000000005,0.0193,0.,0.,-,-,0.,0.,-0.06810000000000001,0.0587,-
2018//3//10,69,06::31:34,18::11:05,12::20:58,7.1000000000000005,16.122,3.427,3.16,3.94,3.177,-,-,1.234,3.1590000000000003,2.078,3.1590000000000003,2.193,3.1630000000000003,13.326,6.533,40.545,2.986,0.38593750000000016,2.37,0.46,14.06,-,-,-0.0466,0.042,0.,0.,-,-,0.,0.,-0.0782,0.0772,-
2018//3//11,70,06::29:52,18::12:15,12::20:43,7.173,16.161,4.9110000000000005,3.3120000000000003,5.97,3.177,-,-,3.5660000000000003,3.326,7.04,3.584,1.345,3.162,22.736,4.246,57.948,2.608,0.3536875,2.37,0.32,18.36,-,-,-0.046700000000000005,0.0379,0.,0.,-,-,0.,0.,-0.0761,0.06670000000000001,-
2018//3//12,71,06::28:10,18::13:24,12::20:27,7.246,16.244,4.75,3.1590000000000003,5.7170000000000005,3.177,-,-,2.705,3.1590000000000003,5.235,3.1590000000000003,2.045,3.161,21.315,4.614,57.421,2.595,2.3422569444444448,7.18,2.94,20.56,-,-,-0.0212,0.014,0.,0.,-,-,0.,0.,-0.0407,0.0485,-
2018//3//13,72,06::26:29,18::14:34,12::20:10,7.319,16.304000000000002,0.803,3.1630000000000003,0.751,3.178,-,-,0.,100,0.001,3.079,0.802,3.173,-3.552,-10.622,3.902,17.916,1.4018402777777774,9.22,4.72,17.21,-,-,-0.0114,0.0091,0.,0.,-,-,0.,0.,-0.0229,0.036500000000000005,-
2018//3//14,73,06::24:46,18::15:44,12::19:54,7.392,16.341,3.638,3.16,4.3020000000000005,3.177,-,-,1.973,3.1590000000000003,3.201,3.1590000000000003,1.665,3.1630000000000003,15.123000000000001,5.731,43.781,2.988,0.32933333333333337,2.2800000000000002,0.65,10.88,-,-,-0.0183,0.0212,0.,0.,-,-,0.,0.,-0.0327,0.0511,-
2018//3//15,74,06::23:03,18::16:53,12::19:37,7.465,16.401,3.344,3.16,3.565,3.177,-,-,0.643,3.1590000000000003,0.966,3.16,2.701,3.1630000000000003,11.719,8.254,37.222,3.251,1.6946249999999996,6.61,0.47000000000000003,9.370000000000001,-,-,-0.0117,0.0106,0.,0.,-,-,0.,0.,-0.028,0.044700000000000004,-
2018//3//16,75,06::21:21,18::18:02,12::19:20,7.538,16.461000000000002,3.169,3.16,3.475,3.177,-,-,1.068,3.16,1.729,3.1590000000000003,2.101,3.162,10.735,8.594,35.44,3.6470000000000002,0.46899305555555565,3.95,0.96,8.51,-,-,-0.011000000000000001,0.0088,0.,0.,-,-,0.,0.,-0.024200000000000003,0.038700000000000005,-
2018//3//17,76,06::19:38,18::19:11,12::19:03,7.61,16.517,3.27,3.16,3.773,3.177,-,-,1.2590000000000001,3.16,1.9100000000000001,3.1590000000000003,2.011,3.164,12.391,7.19,38.685,3.121,0.3601319444444445,2.82,0.88,10.19,-,-,-0.0235,0.016300000000000002,0.,0.,-,-,0.,0.,-0.0483,0.0568,-
2018//3//18,77,06::17:54,18::20:19,12::18:45,7.683,16.557,3.8850000000000002,3.277,4.556,3.177,-,-,1.986,3.289,3.7720000000000002,3.499,1.899,3.1630000000000003,15.908,6.285,46.997,2.9250000000000003,0.3266944444444445,2.5300000000000002,-0.97,12.92,-,-,-0.0397,0.025900000000000003,0.,0.,-,-,0.,0.,-0.0673,0.055600000000000004,-
2018//3//19,78,06::16:11,18::21:27,12::18:28,7.755,16.64,4.7860000000000005,3.293,5.877,3.177,-,-,3.668,3.291,6.296,3.515,1.119,3.166,22.274,4.078,60.896,2.657,0.4578194444444446,3.18,-1.74,15.98,-,-,-0.053700000000000005,0.0229,0.,0.,-,-,0.,0.,-0.0874,0.0625,-
2018//3//20,79,06::14:28,18::22:36,12::18:10,7.827,16.699,2.718,3.161,2.7880000000000003,3.177,-,-,0.15,3.154,0.232,3.16,2.569,3.162,7.223,12.46,27.152,3.9130000000000003,0.7315555555555556,5.57,3.16,13.55,-,-,-0.0413,0.023200000000000002,0.,0.,-,-,0.,0.,-0.0726,0.0608,-
2018//3//21,80,06::12:43,18::23:44,12::17:52,7.899,16.735,3.013,3.161,3.438,3.177,-,-,1.336,3.16,2.1,3.158,1.677,3.166,10.383000000000001,8.517,34.288000000000004,3.481,0.6702708333333335,4.32,5.75,18.13,-,-,-0.060700000000000004,0.0292,0.,0.,-,-,0.,0.,-0.0956,0.0613,-
2018//3//22,81,06::10:59,18::24:53,12::17:34,7.971,16.794,3.051,3.161,3.18,3.177,-,-,0.714,3.1590000000000003,1.643,3.1590000000000003,2.337,3.166,9.905,7.9830000000000005,30.016000000000002,3.056,0.7137500000000001,3.12,0.5700000000000001,8.03,-,-,-0.0621,0.0357,0.,0.,-,-,0.,0.,-0.1009,0.07780000000000001,-
2018//3//23,82,06::09:16,18::26:01,12::17:16,8.042,16.853,3.747,3.1590000000000003,4.039,3.177,-,-,0.98,3.16,1.578,3.1590000000000003,2.766,3.1630000000000003,13.823,6.954,42.408,3.089,1.577576388888889,6.68,1.31,11.48,-,-,-0.037000000000000005,0.020800000000000003,0.,0.,-,-,0.,0.,-0.0656,0.0577,-
2018//3//24,83,06::07:33,18::27:09,12::16:58,8.113,16.911,4.002,3.1590000000000003,4.3180000000000005,3.177,-,-,1.054,3.1590000000000003,1.452,3.1590000000000003,2.948,3.161,15.542,6.543,46.319,2.967,0.9905069444444444,6.0600000000000005,-2.43,9.47,-,-,-0.0512,0.0322,0.,0.,-,-,0.,0.,-0.0881,0.07100000000000001,-
2018//3//25,84,06::05:48,18::28:16,12::16:40,8.184000000000001,16.948,4.665,3.16,5.384,3.177,-,-,2.7520000000000002,3.16,4.378,3.1590000000000003,1.9120000000000001,3.165,20.503,4.7620000000000005,53.749,2.789,0.5750694444444445,3.36,0.22,10.49,-,-,-0.0292,0.015700000000000002,0.,0.,-,-,0.,0.,-0.0592,0.0608,-
2018//3//26,85,06::04:05,18::29:23,12::16:22,8.255,17.03,5.158,3.1590000000000003,5.908,3.177,-,-,2.43,3.1590000000000003,3.979,3.1590000000000003,2.728,3.161,23.396,4.465,61.037,2.617,0.5385833333333334,2.58,-1.51,12.71,-,-,-0.0456,0.030500000000000003,0.,0.,-,-,0.,0.,-0.0758,0.06520000000000001,-
2018//3//27,86,06::02:22,18::30:30,12::16:04,8.325,17.088,6.079,3.1590000000000003,7.245,3.177,-,-,5.119,3.1590000000000003,8.945,3.1590000000000003,0.96,3.165,29.401,3.5620000000000003,71.343,2.512,0.7452708333333333,3.11,-1.21,17.68,-,-,-0.0385,0.0247,0.,0.,-,-,0.,0.,-0.0717,0.0666,-
2018//3//28,87,06::00:38,18::31:38,12::15:46,8.395,17.144000000000002,6.176,3.248,7.317,3.177,-,-,5.277,3.237,9.215,3.347,0.9,3.164,29.354,3.5780000000000003,71.653,2.457,0.5992569444444447,3.62,1.8800000000000001,19.84,-,-,-0.0528,0.0327,0.,0.,-,-,0.,0.,-0.0882,0.0689,-
2018//3//29,88,05::58:54,18::32:46,12::15:28,8.464,17.182,6.111,3.1590000000000003,7.144,3.177,-,-,4.586,3.1590000000000003,8.246,3.1590000000000003,1.5250000000000001,3.162,27.838,3.8200000000000003,67.072,2.529,0.4827222222222224,2.48,1.98,21.44,-,-,-0.039900000000000005,0.0286,0.,0.,-,-,0.,0.,-0.0703,0.0659,-
2018//3//30,89,05::57:11,18::33:53,12::15:10,8.533,17.241,5.114,3.1590000000000003,5.847,3.177,-,-,2.555,3.16,3.75,3.1590000000000003,2.5580000000000003,3.1630000000000003,21.882,4.7010000000000005,58.808,2.652,0.3383333333333334,2.33,2.48,20.96,-,-,-0.0264,0.0152,0.,0.,-,-,0.,0.,-0.055,0.0587,-
2018//3//31,90,05::55:29,18::35:00,12::14:52,8.602,17.299,6.3340000000000005,3.1590000000000003,7.5040000000000004,3.177,-,-,5.511,3.1590000000000003,9.313,3.1590000000000003,0.8230000000000001,3.1670000000000003,29.406000000000002,3.577,71.052,2.512,0.7806458333333336,3.45,5.3100000000000005,20.87,-,-,-0.034300000000000004,0.020900000000000002,0.,0.,-,-,0.,0.,-0.0604,0.0548,-
2018//4//1,91,05::53:45,18::36:08,12::14:34,8.67,17.335,4.692,3.1590000000000003,5.11,3.177,-,-,1.572,3.158,3.24,3.1590000000000003,3.121,3.1590000000000003,18.104,5.863,51.581,2.728,0.8373819444444444,2.94,2.31,17.37,-,-,-0.024800000000000003,0.0123,0.,0.,-,-,0.,0.,-0.0473,0.0487,-
2018//4//2,92,05::52:03,18::37:15,12::14:16,8.738,17.393,6.764,3.1590000000000003,7.87,3.177,-,-,5.814,3.1590000000000003,9.892,3.1590000000000003,0.9500000000000001,3.162,32.141,3.314,75.964,2.5,1.015333333333333,3.84,0.76,11.83,-,-,-0.0222,0.0143,0.,0.,-,-,0.,0.,-0.0497,0.0545,-
2018//4//3,93,05::50:21,18::38:21,12::13:59,8.805,17.451,5.478,3.1590000000000003,6.171,3.177,-,-,2.719,3.1590000000000003,4.336,3.1590000000000003,2.759,3.16,23.834,4.4110000000000005,63.643,2.547,0.5826666666666667,2.88,-2.36,17.38,-,-,-0.025900000000000003,0.021,0.,0.,-,-,0.,0.,-0.0434,0.050800000000000005,-
2018//4//4,94,05::48:39,18::39:27,12::13:41,8.872,17.509,3.672,3.1590000000000003,3.798,3.177,-,-,0.389,3.1630000000000003,0.622,3.158,3.282,3.161,11.924,8.228,37.873,3.1430000000000002,0.4203680555555555,3.44,5.84,20.26,-,-,-0.033,0.021400000000000002,0.,0.,-,-,0.,0.,-0.060700000000000004,0.0591,-
2018//4//5,95,05::46:57,18::40:35,12::13:24,8.938,17.567,1.6340000000000001,3.161,1.588,3.176,-,-,0.016,3.233,0.02,3.205,1.618,3.164,1.106,69.409,14.059000000000001,6.595,0.9137569444444446,4.6000000000000005,9.290000000000001,15.66,-,-,-0.0199,0.015300000000000001,0.,0.,-,-,0.,0.,-0.0425,0.0541,-
2018//4//6,96,05::45:17,18::41:42,12::13:07,9.004,17.625,2.12,3.16,2.064,3.177,-,-,0.001,4.2700000000000005,0.002,3.938,2.119,3.1630000000000003,3.633,25.761,19.603,5.071,2.4514375000000004,6.8100000000000005,8.85,16.01,-,-,-0.014400000000000001,0.0102,0.,0.,-,-,0.,0.,-0.0279,0.0379,-
2018//4//7,97,05::43:37,18::42:50,12::12:50,9.069,17.68,6.147,3.1590000000000003,6.94,3.177,-,-,3.992,3.1590000000000003,6.361,3.1590000000000003,2.1550000000000002,3.162,27.156,3.94,69.07000000000001,2.492,1.6731388888888894,7.83,7.930000000000001,17.29,-,-,-0.0173,0.013000000000000001,0.,0.,-,-,0.,0.,-0.0337,0.0459,-
2018//4//8,98,05::41:55,18::43:57,12::12:34,9.134,17.717,5.502,3.1590000000000003,6.272,3.177,-,-,3.396,3.1590000000000003,4.8260000000000005,3.1590000000000003,2.106,3.16,23.982,4.454,62.879,2.723,0.7465277777777778,3.19,4.88,15.48,-,-,-0.0315,0.0247,0.,0.,-,-,0.,0.,-0.053500000000000006,0.0507,-
2018//4//9,99,05::40:16,18::45:04,12::12:17,9.198,17.775000000000002,6.416,3.164,7.257000000000001,3.182,-,-,4.091,3.164,6.468,3.1670000000000003,2.324,3.1670000000000003,28.292,3.8280000000000003,70.188,2.549,0.8333125,5.4,0.53,24.560000000000002,-,-,-0.0302,0.0194,0.,0.,-,-,0.,0.,-0.050300000000000004,0.0499,-
2018//4//10,100,05::38:38,18::46:11,12::12:01,9.262,17.81,3.6550000000000002,3.1590000000000003,3.8970000000000002,3.177,-,-,1.294,3.1590000000000003,1.99,3.1590000000000003,2.361,3.161,12.444,7.385,34.659,3.614,1.2298402777777777,5.18,5.37,19.11,-,-,-0.0206,0.017400000000000002,0.,0.,-,-,0.,0.,-0.0432,0.055400000000000005,-
2018//4//11,101,05::36:58,18::47:18,12::11:45,9.325000000000001,17.868000000000002,3.873,3.1590000000000003,4.173,3.177,-,-,1.84,3.1590000000000003,2.319,3.1590000000000003,2.033,3.162,13.926,5.83,42.101,3.198,1.1838333333333333,7.43,2.35,18.11,-,-,-0.0171,0.0112,0.,0.,-,-,0.,0.,-0.0381,0.0472,-
2018//4//12,102,05::35:21,18::48:24,12::11:30,9.387,17.948,4.24,3.1590000000000003,4.33,3.177,-,-,1.037,3.16,1.7750000000000001,3.1590000000000003,3.203,3.16,15.032,7.206,41.447,3.293,0.7491874999999999,3.79,1.23,10.200000000000001,-,-,-0.0245,0.025400000000000002,0.,0.,-,-,0.,0.,-0.0396,0.048600000000000004,-
2018//4//13,103,05::33:43,18::49:31,12::11:15,9.449,17.983,3.7560000000000002,3.1590000000000003,3.72,3.177,-,-,0.34400000000000003,3.162,0.871,3.161,3.411,3.161,11.701,9.366,32.816,3.523,0.5178055555555556,2.38,2.64,13.74,-,-,-0.0264,0.0233,0.,0.,-,-,0.,0.,-0.0455,0.0511,-
2018//4//14,104,05::32:06,18::50:39,12::11:00,9.51,18.04,5.6370000000000005,3.1590000000000003,6.0920000000000005,3.177,-,-,2.5140000000000002,3.1590000000000003,3.439,3.1590000000000003,3.123,3.161,23.495,4.429,63.412,2.609,0.8458749999999999,3.72,3.71,17.51,-,-,-0.0341,0.0188,0.,0.,-,-,0.,0.,-0.0562,0.050300000000000004,-
2018//4//15,105,05::30:31,18::51:46,12::10:45,9.57,18.097,2.41,3.16,2.32,3.177,-,-,0.082,3.146,0.168,3.1510000000000002,2.328,3.162,5.03,19.548000000000002,22.055,4.7780000000000005,0.5716180555555557,3.91,2.58,10.120000000000001,-,-,-0.0199,0.0122,0.,0.,-,-,0.,0.,-0.0432,0.051000000000000004,-
2018//4//16,106,05::28:54,18::52:53,12::10:31,9.63,18.133,3.4450000000000003,3.1590000000000003,3.478,3.177,-,-,0.804,3.16,1.459,3.16,2.64,3.161,10.803,9.806000000000001,34.35,3.636,0.36745138888888895,4.14,1.54,9.18,-,-,-0.0177,0.012,0.,0.,-,-,0.,0.,-0.036000000000000004,0.0441,-
2018//4//17,107,05::27:20,18::54:01,12::10:17,9.689,18.19,6.034,3.185,6.615,3.177,-,-,3.595,3.188,5.533,3.2560000000000002,2.439,3.16,25.834,4.393,67.82300000000001,2.672,0.40604861111111124,2.31,0.99,14.65,-,-,-0.0212,0.0154,0.,0.,-,-,0.,0.,-0.039,0.0495,-
2018//4//18,108,05::25:46,18::55:08,12::10:04,9.747,18.225,4.037,3.1590000000000003,4.089,3.177,-,-,0.999,3.158,1.9040000000000001,3.1590000000000003,3.0380000000000003,3.161,13.528,8.194,37.444,3.426,0.5078125000000001,5.1000000000000005,3.54,13.3,-,-,-0.0346,0.0172,0.,0.,-,-,0.,0.,-0.067,0.058800000000000005,-
2018//4//19,109,05::24:13,18::56:15,12::09:51,9.805,18.282,6.932,3.1590000000000003,7.619,3.177,-,-,4.761,3.1590000000000003,7.347,3.1590000000000003,2.1710000000000003,3.161,30.462,3.66,74.59400000000001,2.527,0.6369722222222224,3.09,-0.12,17.59,-,-,-0.0603,0.0378,0.,0.,-,-,0.,0.,-0.0945,0.07010000000000001,-
2018//4//20,110,05::22:40,18::57:21,12::09:38,9.862,18.317,6.805,3.197,7.508,3.182,-,-,5.285,3.193,8.357,3.2960000000000003,1.5190000000000001,3.161,29.758,3.79,75.327,2.52,0.6100555555555557,2.52,2.32,21.61,-,-,-0.0449,0.020900000000000002,0.,0.,-,-,0.,0.,-0.0703,0.055600000000000004,-
2018//4//21,111,05::21:09,18::58:27,12::09:26,9.918000000000001,18.397000000000002,7.5520000000000005,3.1590000000000003,8.311,3.177,-,-,6.668,3.1590000000000003,10.664,3.1590000000000003,0.884,3.1630000000000003,33.338,3.379,77.248,2.524,0.8570694444444447,3.34,3.21,20.16,-,-,-0.029900000000000003,0.0164,0.,0.,-,-,0.,0.,-0.0505,0.046900000000000004,-
2018//4//22,112,05::19:39,18::59:35,12::09:15,9.974,18.432000000000002,7.534,3.1590000000000003,8.234,3.177,-,-,6.295,3.1590000000000003,10.014,3.1590000000000003,1.239,3.161,32.945,3.473,76.023,2.569,0.7130277777777778,2.99,2.29,20.72,-,-,-0.023100000000000002,0.0159,0.,0.,-,-,0.,0.,-0.0409,0.0473,-
2018//4//23,113,05::18:09,19::00:42,12::09:03,10.029,18.490000000000002,7.69,3.1590000000000003,8.399000000000001,3.177,-,-,6.492,3.1590000000000003,10.222,3.1590000000000003,1.197,3.162,32.608000000000004,3.488,77.199,2.553,1.3034722222222224,5.13,3.5300000000000002,26.11,-,-,-0.015000000000000001,0.015300000000000001,0.,0.,-,-,0.,0.,-0.0322,0.0456,-
2018//4//24,114,05::16:40,19::01:50,12::08:53,10.083,18.524,6.857,3.1590000000000003,7.456,3.177,-,-,4.41,3.1590000000000003,6.518,3.1590000000000003,2.447,3.16,28.401,4.159,71.793,2.632,1.5562013888888884,5.8500000000000005,11.46,28.67,-,-,-0.0105,0.0103,0.,0.,-,-,0.,0.,-0.0219,0.0368,-
2018//4//25,115,05::15:13,19::02:57,12::08:42,10.136000000000001,18.582,7.522,3.1590000000000003,8.196,3.177,-,-,5.984,3.1590000000000003,9.294,3.1590000000000003,1.538,3.161,30.896,3.6790000000000003,70.731,2.619,0.5225347222222224,2.22,8.55,30.5,-,-,-0.0092,0.0074,0.,0.,-,-,0.,0.,-0.0201,0.0339,-
2018//4//26,116,05::13:46,19::04:03,12::08:33,10.189,18.617,7.274,3.1590000000000003,7.777,3.177,-,-,4.86,3.1590000000000003,7.665,3.1590000000000003,2.414,3.161,29.03,4.029,69.089,2.709,0.7279861111111112,2.89,8.59,29.11,-,-,-0.0118,0.014100000000000001,0.,0.,-,-,0.,0.,-0.0228,0.0408,-
2018//4//27,117,05::12:21,19::05:10,12::08:23,10.24,18.674,5.018,3.1590000000000003,5.1160000000000005,3.177,-,-,1.823,3.1590000000000003,2.89,3.1590000000000003,3.1950000000000003,3.16,18.457,5.84,48.162,2.932,0.6942361111111113,3.8000000000000003,7.44,16.79,-,-,-0.006900000000000001,0.0079,0.,0.,-,-,0.,0.,-0.0115,0.0258,-
2018//4//28,118,05::10:56,19::06:16,12::08:14,10.291,18.709,3.59,3.1590000000000003,3.587,3.177,-,-,0.753,3.158,1.099,3.1590000000000003,2.837,3.161,11.513,8.546,36.447,3.469,0.32384027777777774,4.42,5.41,14.09,-,-,-0.0029000000000000002,0.0049,0.,0.,-,-,0.,0.,-0.006,0.0193,-
2018//4//29,119,05::09:34,19::07:22,12::08:06,10.341000000000001,18.765,5.648,3.1590000000000003,5.955,3.177,-,-,2.806,3.1590000000000003,3.6830000000000003,3.1590000000000003,2.841,3.162,23.22,4.6000000000000005,58.883,2.759,0.6074097222222222,3.43,5.75,15.3,-,-,-0.0037,0.0054,0.,0.,-,-,0.,0.,-0.0073,0.0205,-
2018//4//30,120,05::08:10,19::08:28,12::07:58,10.391,18.824,6.0520000000000005,3.1590000000000003,6.431,3.177,-,-,3.166,3.1590000000000003,4.09,3.1590000000000003,2.886,3.16,25.665,4.269,62.828,2.785,1.0825833333333335,3.16,5.05,12.92,-,-,-0.004200000000000001,0.0055000000000000005,0.,0.,-,-,0.,0.,-0.006200000000000001,0.0158,-
2018//5//1,121,05::06:49,19::09:35,12::07:51,10.439,18.859,6.715,3.1590000000000003,7.041,3.177,-,-,3.9450000000000003,3.1590000000000003,5.596,3.1590000000000003,2.77,3.1590000000000003,-,-,66.033,2.767,0.8964444444444445,3.08,5.5600000000000005,16.580000000000002,-,-,-0.015700000000000002,0.016800000000000002,0.,0.,-,-,0.,0.,-0.0297,0.0448,-
2018//5//2,122,05::05:31,19::10:41,12::07:44,10.487,18.916,7.971,3.213,8.502,3.182,-,-,7.081,3.202,11.161,3.31,0.89,3.158,-,-,77.414,2.566,0.6852986111111111,2.79,2.63,23.67,-,-,-0.015600000000000001,0.011600000000000001,0.,0.,-,-,0.,0.,-0.0334,0.0461,-
2018//5//3,123,05::04:11,19::11:48,12::07:38,10.534,18.952,7.287,3.1590000000000003,7.758,3.177,-,-,5.355,3.1590000000000003,7.598,3.1590000000000003,1.933,3.158,-,-,75.19200000000001,2.604,0.6567430555555558,2.69,5.92,26.22,-,-,-0.0097,0.008,0.,0.,-,-,0.,0.,-0.019,0.033800000000000004,-
2018//5//4,124,05::02:54,19::12:53,12::07:33,10.579,18.987000000000002,6.804,3.1590000000000003,7.147,3.177,-,-,3.9290000000000003,3.1590000000000003,5.678,3.1590000000000003,2.875,3.16,-,-,63.627,2.811,0.7349791666666666,3.39,8.67,26.11,-,-,-0.008400000000000001,0.0079,0.,0.,-,-,0.,0.,-0.0152,0.029400000000000003,-
2018//5//5,125,05::01:39,19::13:59,12::07:28,10.625,19.023,5.252,3.1590000000000003,5.396,3.177,-,-,2.19,3.1590000000000003,2.83,3.1590000000000003,3.061,3.16,18.696,6.184,48.123,3.289,0.4557916666666669,2.5,10.43,25.67,-,-,-0.0166,0.0162,0.,0.,-,-,0.,0.,-0.030000000000000002,0.040100000000000004,-
2018//5//6,126,05::00:25,19::15:04,12::07:23,10.669,19.080000000000002,7.726,3.1590000000000003,8.123,3.177,-,-,5.8740000000000006,3.1590000000000003,9.053,3.1590000000000003,1.852,3.16,31.767,3.807,73.135,2.646,0.8200694444444445,2.7,11.17,25.61,-,-,-0.0158,0.012400000000000001,0.,0.,-,-,0.,0.,-0.032100000000000004,0.042800000000000005,-
2018//5//7,127,04::59:11,19::16:09,12::07:19,10.712,19.116,7.958,3.204,8.368,3.182,-,-,6.997,3.194,10.818,3.286,0.961,3.158,33.303,3.464,74.648,2.583,0.6509930555555558,2.97,7.11,26.72,-,-,-0.019200000000000002,0.0111,0.,0.,-,-,0.,0.,-0.0432,0.0502,-
