Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2000.6672548573165,245.21527777777777,2000-09-01--05:10:00,93.00687,75.82346000000001,0,0.,-0.39,12,0.11,72,0.11,12,-0.39,72,8.83,11,-6.75,11,0.2,11,-
2000.6672643442625,245.21875,2000-09-01--05:15:00,92.08588,76.69536000000001,0,0.,-0.17,12,0.35000000000000003,72,0.35000000000000003,12,-0.17,72,8.950000000000001,11,-6.53,11,0.44,11,-
2000.6672738312084,245.2222222222222,2000-09-01--05:20:00,91.10755,77.56353,0,0.,-0.64,12,0.4,72,0.4,12,-0.64,72,9.22,11,-7.,11,0.49,11,-
2000.6672833181544,245.22569444444443,2000-09-01--05:25:00,89.91713000000001,78.42837,0.5700000000000001,394.42,-1.25,12,0.,72,0.35000000000000003,12,-1.25,72,9.26,11,-7.61,11,0.44,11,-
2000.6672928051003,245.22916666666666,2000-09-01--05:30:00,89.15570000000001,79.29029000000001,19.77,1341.99,-1.44,12,0.,72,0.18,12,-1.44,72,9.14,11,-7.8,11,0.27,11,-
2000.6673022920463,245.23263888888889,2000-09-01--05:35:00,88.35384,80.14970000000001,38.550000000000004,1341.99,-1.98,12,0.,72,-0.06,12,-1.98,72,9.19,11,-8.34,11,0.03,11,-
2000.6673117789924,245.2361111111111,2000-09-01--05:40:00,87.52343,81.00699,57.99,1342.,-1.4000000000000001,12,-0.02,72,-0.45,12,-1.4000000000000001,72,9.03,11,-7.76,11,-0.36,11,-
2000.6673212659382,245.23958333333331,2000-09-01--05:45:00,86.67356000000001,81.8626,77.87,1342.,0.25,12,-0.03,72,-0.46,12,0.25,72,8.85,11,-6.11,11,-0.37,11,-
2000.6673307528843,245.24305555555554,2000-09-01--05:50:00,85.81047000000001,82.71691000000001,98.04,1342.,1.55,12,-0.03,72,-0.35000000000000003,12,1.55,72,8.74,11,-4.8100000000000005,11,-0.26,11,-
2000.66734023983,245.24652777777777,2000-09-01--05:55:00,84.93628000000001,83.57036000000001,118.45,1342.,1.93,12,-0.04,72,-0.44,12,1.93,72,8.74,11,-4.43,11,-0.35000000000000003,11,-
2000.6673497267761,245.25,2000-09-01--06:00:00,84.05592,84.42336,138.98,1342.01,1.73,12,-0.02,72,-0.18,12,1.73,72,8.67,11,-4.63,11,-0.09,11,-
