YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2000//2//24,55,06::42:03,17::37:03,12::09:21,5.84,15.125,3.442,4.253,2.314,2.781,5.58,2.75,1.1280000000000001,11.301,-5.18,4.54,-5.8942000000000005,0.6904,-0.2513,0.3375,-
2000//2//25,56,06::40:40,17::38:40,12::09:12,5.9110000000000005,15.276,2.6590000000000003,5.255,1.196,2.976,3.047,2.825,1.463,9.257,-8.64,5.09,-5.4556000000000004,0.8632000000000001,-0.1897,0.2869,-
2000//2//26,57,06::39:17,17::39:36,12::09:02,5.9830000000000005,15.301,1.788,7.327,0.001,189.94,0.001,195.876,1.7870000000000001,7.509,-0.24,2.32,-6.616300000000001,2.2249000000000003,0.0819,0.0936,-
2000//2//27,58,06::37:15,17::40:44,12::08:52,6.055,15.335,1.752,7.369,0.045,11.5,0.096,6.602,1.706,7.627,0.8,8.120000000000001,-5.6505,1.5336,0.1061,0.37770000000000004,-
2000//2//28,59,06::35:45,17::42:19,12::08:41,6.127,15.368,3.106,4.5440000000000005,1.12,2.947,2.876,2.8000000000000003,1.986,6.815,-2.09,6.9,-6.2796,0.9567,-0.1772,0.38720000000000004,-
2000//2//29,60,06::34:22,17::43:46,12::08:29,6.2,15.509,2.571,5.263,0.72,3.156,1.851,2.9050000000000002,1.851,7.306,-2.32,8.620000000000001,-6.4017,1.6740000000000002,-0.06470000000000001,0.35760000000000003,-
2000//3//1,61,06::32:17,17::44:42,12::08:18,6.274,15.544,4.535,3.97,4.106,2.765,8.606,2.746,0.429,37.22,-5.93,9.71,-6.3901,1.1959,-0.3106,0.3231,-
2000//3//2,62,06::30:45,17::45:52,12::08:05,6.347,15.577,1.5030000000000001,10.855,0.016,48.702,0.081,11.307,1.487,10.971,-1.31,5.28,-4.8528,1.4723000000000002,0.0079,0.24380000000000002,-
2000//3//3,63,06::29:19,17::47:29,12::07:53,6.42,15.602,4.376,4.139,3.285,2.77,7.087,2.744,1.091,14.65,-2.39,12.65,-6.6233,0.9041,-0.3553,0.39390000000000003,-
2000//3//4,64,06::27:12,17::48:50,12::07:39,6.494,15.752,3.137,5.131,1.372,2.9090000000000003,3.0260000000000002,2.9050000000000002,1.7650000000000001,8.73,-4.29,13.790000000000001,-6.7348,1.6104,-0.0211,0.3801,-
2000//3//5,65,06::25:40,17::49:46,12::07:26,6.5680000000000005,15.785,1.562,10.593,0.029,16.091,0.081,7.405,1.534,10.786,-0.6,4.11,-8.2781,0.5786,0.0728,0.10310000000000001,-
2000//3//6,66,06::24:11,17::50:55,12::07:12,6.643,15.811,3.289,5.197,0.167,6.684,0.33,5.007,3.122,5.992,-2.1,2.34,-6.7555000000000005,1.0586,-0.0267,0.0961,-
2000//3//7,67,06::21:59,17::52:31,12::06:57,6.7170000000000005,15.842,4.023,4.547,2.532,2.848,4.892,2.794,1.49,11.19,-6.12,4.92,-5.8721000000000005,1.6343,-0.0835,0.3352,-
2000//3//8,68,06::20:32,17::53:50,12::06:42,6.792,15.995000000000001,2.509,6.7540000000000004,0.36,3.7640000000000002,0.654,3.213,2.148,7.851,-3.7,6.61,-7.067200000000001,1.1131,-0.0037,0.34990000000000004,-
2000//3//9,69,06::18:58,17::54:45,12::06:27,6.8660000000000005,16.022000000000002,3.702,4.988,2.303,2.798,4.618,2.7560000000000002,1.4000000000000001,12.028,-6.1000000000000005,5.11,-6.1067,1.0688,0.2641,0.5819,-
2000//3//10,70,06::16:41,17::55:53,12::06:11,6.941,16.047,3.223,5.3870000000000005,0.777,3.341,1.309,3.035,2.445,6.996,-5.7700000000000005,7.87,-6.484100000000001,1.1520000000000001,0.023200000000000002,0.3366,-
2000//3//11,71,06::15:20,17::57:28,12::05:56,7.016,16.088,4.673,4.143,3.124,2.8000000000000003,5.78,2.759,1.549,10.906,-2.93,6.390000000000001,-7.625,1.5519,-0.2813,0.6678000000000001,-
2000//3//12,72,06::13:39,17::58:48,12::05:39,7.09,16.233,4.263,4.312,2.129,2.82,4.3180000000000005,2.757,2.133,7.853,-6.34,11.24,-6.222700000000001,0.8806,-0.47940000000000005,0.37370000000000003,-
2000//3//13,73,06::11:23,17::59:42,12::05:23,7.165,16.277,4.3340000000000005,4.346,2.371,2.842,4.271,2.785,1.963,8.951,-4.37,14.93,-6.726500000000001,2.222,-0.2131,0.6043000000000001,-
2000//3//14,74,06::10:05,18::00:48,12::05:06,7.24,16.298000000000002,4.746,4.065,3.099,2.798,5.243,2.757,1.647,10.116,0.,11.05,-8.0655,1.3629,-0.0083,0.30160000000000003,-
2000//3//15,75,06::08:15,18::02:18,12::04:49,7.315,16.330000000000002,5.361,3.789,4.752,2.759,9.145,2.745,0.609,27.739,-2.99,10.42,-6.1875,1.2093,-0.1164,0.2454,-
2000//3//16,76,06::06:09,18::03:43,12::04:32,7.389,16.485,1.62,10.562,0.391,4.488,1.107,3.406,1.229,13.845,-1.61,6.3500000000000005,-6.6599,2.0695,-0.046,0.2548,-
2000//3//17,77,06::04:46,18::04:36,12::04:15,7.464,16.507,4.798,4.268,3.387,2.843,5.7,2.7840000000000003,1.411,12.057,-4.76,9.51,-6.9824,0.9991000000000001,-0.1847,0.4181,-
2000//3//18,78,06::02:44,18::05:39,12::03:57,7.538,16.544,2.729,6.385,0.355,4.128,0.922,3.185,2.373,7.524,-4.66,9.74,-7.4344,1.6714,-0.12510000000000002,0.41290000000000004,-
2000//3//19,79,06::00:54,18::07:05,12::03:40,7.612,16.577,4.766,4.162,3.051,2.781,5.63,2.762,1.715,9.944,-3.24,6.46,-6.947500000000001,1.8762,-0.064,0.2768,-
2000//3//20,80,05::59:25,18::08:37,12::03:22,7.686,16.716,5.628,3.732,-,-,-,-,-,-,-6.13,7.96,-6.9116,0.868,-0.3255,0.32430000000000003,-
2000//3//21,81,05::57:12,18::09:28,12::03:04,7.76,16.751,5.748,3.623,-,-,-,-,-,-,-4.62,15.56,-6.4524,1.2587000000000002,-0.41550000000000004,0.5094000000000001,-
2000//3//22,82,05::55:37,18::10:29,12::02:46,7.8340000000000005,16.784,4.8260000000000005,4.249,3.467,2.806,6.226,2.77,1.358,12.613,-3.72,17.37,-7.551,2.6525000000000003,-0.3612,0.3658,-
2000//3//23,83,05::54:01,18::11:49,12::02:28,7.907,16.811,6.003,3.6950000000000003,5.386,2.7520000000000002,10.200000000000001,2.742,0.618,28.646,-4.63,8.,-7.7938,1.2713,-0.4378,0.5870000000000001,-
2000//3//24,84,05::51:42,18::13:26,12::02:10,7.98,16.836000000000002,5.805,3.673,4.893,2.755,8.925,2.741,0.912,18.904,-7.5,12.91,-7.2111,1.8947,-0.3013,0.26380000000000003,-
2000//3//25,85,05::50:18,18::14:18,12::01:52,8.053,16.991,4.941,3.9490000000000003,2.295,2.779,4.847,2.747,2.646,7.039000000000001,-2.74,16.18,-7.402,1.7519,-0.40800000000000003,0.5058,-
2000//3//26,86,05::48:35,18::15:16,12::01:33,8.126,17.02,5.989,3.8200000000000003,-,-,-,-,-,-,-3.3000000000000003,19.36,-6.9206,1.2098,-0.6615,0.6478,-
2000//3//27,87,05::46:19,18::16:31,12::01:15,8.198,17.062,3.463,5.345,0.664,3.374,1.514,3.035,2.8000000000000003,6.619,-1.98,13.620000000000001,-7.311,1.7060000000000002,-0.2713,0.33680000000000004,-
2000//3//28,88,05::44:59,18::18:08,12::00:57,8.27,17.082,5.849,3.875,3.891,2.778,7.306,2.747,1.959,9.266,-4.0200000000000005,7.72,-8.0715,1.05,-0.3302,0.4088,-
2000//3//29,89,05::43:06,18::19:08,12::00:39,8.342,17.229,5.746,3.802,4.381,2.775,8.191,2.749,1.365,13.097,-4.64,6.22,-7.3565000000000005,0.8634000000000001,-0.307,0.5206000000000001,-
2000//3//30,90,05::41:05,18::20:04,12::00:21,8.413,17.266000000000002,6.417,3.557,5.6370000000000005,2.748,10.282,2.74,0.781,22.667,-6.58,12.39,-7.453,1.1474,-0.4173,0.5338,-
2000//3//31,91,05::39:40,18::21:14,12::00:03,8.483,17.287,6.3500000000000005,3.604,5.639,2.7520000000000002,10.048,2.74,0.711,25.061,-3.5700000000000003,17.150000000000002,-7.3386000000000005,1.0229000000000001,-0.4038,0.4964,-
2000//4//1,92,05::37:36,18::22:49,11::59:45,8.554,17.325,5.938,3.9,4.545,2.7680000000000002,7.861,2.742,1.3940000000000001,14.156,1.1,19.81,-7.4287,1.2213,-0.2713,0.9169,-
2000//4//2,93,05::35:50,18::23:57,11::59:28,8.624,17.468,6.404,3.724,5.857,2.745,10.543000000000001,2.738,0.547,35.845,3.13,20.82,-8.103200000000001,1.3511,-0.4596,0.7476,-
2000//4//3,94,05::34:22,18::24:51,11::59:10,8.693,17.491,6.414,3.745,5.774,2.769,10.058,2.761,0.64,30.833000000000002,-1.04,25.87,-7.3383,1.1283,-0.555,0.5631,-
2000//4//4,95,05::32:11,18::25:57,11::58:53,8.762,17.524,6.197,3.794,5.12,2.7600000000000002,8.898,2.744,1.077,18.322,1.3900000000000001,21.71,-8.0762,1.6439000000000001,-0.4796,0.8444,-
2000//4//5,96,05::30:38,18::27:29,11::58:35,8.831,17.556,6.4190000000000005,3.87,5.184,2.758,8.353,2.745,1.236,16.372,-3.16,16.35,-7.4078,1.1007,-0.1943,0.3214,-
2000//4//6,97,05::29:06,18::28:46,11::58:18,8.898,17.694,5.328,4.263,2.207,2.876,3.523,2.8120000000000003,3.121,6.67,0.54,13.290000000000001,-7.774900000000001,1.2509000000000001,-0.2642,0.36050000000000004,-
2000//4//7,98,05::26:52,18::29:38,11::58:02,8.966,17.72,6.746,3.6550000000000002,5.886,2.748,10.397,2.74,0.861,23.065,-4.11,17.1,-7.786700000000001,1.7161000000000002,-0.4112,0.5303,-
2000//4//8,99,05::25:27,18::30:41,11::57:45,9.033,17.756,4.4750000000000005,4.914,2.353,2.906,4.312,2.819,2.122,9.596,-1.71,17.16,-8.2096,1.3130000000000002,-0.38320000000000004,0.5236000000000001,-
2000//4//9,100,05::23:53,18::32:04,11::57:29,9.099,17.782,3.4050000000000002,6.032,0.6980000000000001,3.649,1.3,3.182,2.707,7.675,4.75,13.280000000000001,-7.2058,1.0511000000000001,-0.2412,0.4847,-
2000//4//10,101,05::21:38,18::33:36,11::57:13,9.165000000000001,17.916,6.812,3.7,5.908,2.766,10.003,2.759,0.905,22.36,0.48,18.61,-7.6126000000000005,1.2114,-0.6455000000000001,0.7026,-
2000//4//11,102,05::20:20,18::34:26,11::56:57,9.23,17.955000000000002,6.478,3.782,4.673,2.757,7.708,2.744,1.805,11.211,0.99,22.32,-6.7046,1.3669,-0.42310000000000003,0.5522,-
2000//4//12,103,05::18:44,18::35:25,11::56:42,9.295,17.98,4.586,4.901,1.616,2.931,2.282,2.856,2.97,7.147,5.51,20.7,-7.580900000000001,1.8194000000000001,-0.06770000000000001,0.42200000000000004,-
2000//4//13,104,05::16:30,18::36:43,11::56:26,9.359,17.998,4.538,4.985,2.591,2.8930000000000002,3.993,2.841,1.947,10.223,3.36,13.25,-7.2824,1.3064,-0.11760000000000001,0.3476,-
2000//4//14,105,05::15:17,18::38:19,11::56:12,9.422,18.038,4.772,4.667,2.008,2.8970000000000002,3.92,2.814,2.7640000000000002,7.715,0.93,12.81,-7.2651,0.9895,-0.1109,0.2914,-
