YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//3//16,76,06::19:39,18::16:28,12::17:38,6.808,16.379,3.257,3.746,1.707,2.934,3.569,2.827,1.55,6.8100000000000005,5.68,13.23,-3.7390000000000003,0.8678,-0.045200000000000004,0.27490000000000003,-
2016//3//17,77,06::17:38,18::17:57,12::17:21,6.888,16.438,5.056,2.985,4.439,2.758,9.268,2.751,0.618,16.281,2.66,15.18,-4.2902000000000005,0.8223,-0.0731,0.4903,-
2016//3//18,78,06::15:37,18::19:22,12::17:04,6.9670000000000005,16.498,4.21,3.1870000000000003,1.992,2.8080000000000003,4.038,2.763,2.218,5.082,7.0200000000000005,18.27,-4.0929,0.4984,0.0743,0.4748,-
2016//3//19,79,06::13:36,18::20:49,12::16:46,7.047,16.580000000000002,2.492,4.288,0.089,9.924,0.162,6.3870000000000005,2.403,5.08,9.38,18.830000000000002,-3.5147000000000004,0.5527000000000001,-0.19310000000000002,0.2883,-
2016//3//20,80,06::11:34,18::22:16,12::16:28,7.127,16.639,1.143,8.944,0.007,81.905,0.041,16.181,1.135,9.068,9.6,12.700000000000001,-3.8232000000000004,0.9406,0.061500000000000006,0.4184,-
2016//3//21,81,06::09:33,18::23:42,12::16:10,7.207,16.742,1.686,6.337,0.165,5.291,0.34900000000000003,3.918,1.5210000000000001,7.313,8.47,13.39,-4.3084,0.7795000000000001,-0.0034000000000000002,0.3336,-
2016//3//22,82,06::07:31,18::25:08,12::15:52,7.2860000000000005,16.801000000000002,3.205,3.932,1.291,3.0260000000000002,2.1,2.912,1.9140000000000001,5.731,7.3,16.1,-3.5047,0.531,-0.0397,0.1338,-
2016//3//23,83,06::05:29,18::26:33,12::15:34,7.3660000000000005,16.883,1.6400000000000001,6.288,0.011,42.81,0.02,24.081,1.629,6.721,7.890000000000001,11.4,-4.296600000000001,0.8374,0.09630000000000001,0.2776,-
2016//3//24,84,06::03:27,18::28:00,12::15:16,7.445,16.942,3.475,3.6270000000000002,0.741,3.21,1.41,2.998,2.734,4.981,6.76,13.57,-3.6648,0.6278,-0.010400000000000001,0.2858,-
2016//3//25,85,06::01:25,18::29:25,12::14:58,7.524,17.,3.3850000000000002,3.7070000000000003,1.563,2.976,3.301,2.837,1.821,5.901,6.7700000000000005,15.950000000000001,-3.5049,0.8316,-0.10060000000000001,0.24630000000000002,-
2016//3//26,86,05::59:23,18::30:51,12::14:40,7.603,17.082,4.091,3.4010000000000002,1.45,2.9130000000000003,2.287,2.828,2.642,5.0360000000000005,5.53,17.69,-4.1009,1.1816,0.091,0.3672,-
2016//3//27,87,05::57:22,18::32:17,12::14:22,7.681,17.14,1.895,6.101,0.28500000000000003,3.857,0.423,3.4530000000000003,1.609,7.5440000000000005,5.07,11.56,-3.8652,0.6774,0.15330000000000002,0.34590000000000004,-
2016//3//28,88,05::55:20,18::33:42,12::14:04,7.759,17.221,3.098,4.073,1.545,3.0380000000000003,3.327,2.874,1.553,7.101,4.89,13.92,-3.7969000000000004,0.7357,0.051300000000000005,0.3461,-
2016//3//29,89,05::53:19,18::35:08,12::13:46,7.837,17.279,5.801,2.9410000000000003,5.006,2.7600000000000002,9.533,2.7520000000000002,0.795,13.458,4.39,18.46,-4.3452,0.315,-0.1107,0.42610000000000003,-
2016//3//30,90,05::51:18,18::36:32,12::13:28,7.915,17.36,5.7540000000000004,2.952,4.936,2.7600000000000002,9.464,2.7520000000000002,0.8180000000000001,13.162,6.76,21.73,-4.381200000000001,0.2695,-0.17420000000000002,0.37570000000000003,-
2016//3//31,91,05::49:17,18::37:58,12::13:10,7.992,17.417,5.688,2.957,4.67,2.763,8.745000000000001,2.753,1.0190000000000001,10.553,8.870000000000001,24.82,-4.4553,0.3146,-0.11660000000000001,0.3841,-
