Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1980.1659836065576,61.75,1980-03-01--18:00:00,88.07494000000001,257.93262000000004,46.54,1385.54,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.166097449909,61.791666666666664,1980-03-01--19:00:00,98.70065000000001,268.65615,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1662112932606,61.83333333333333,1980-03-01--20:00:00,109.12268,279.64411,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1663251366122,61.875,1980-03-01--21:00:00,119.17137000000001,291.71351000000004,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1664389799637,61.916666666666664,1980-03-01--22:00:00,128.32039,305.88465,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1665528233152,61.95833333333333,1980-03-01--23:00:00,135.76428,323.31774,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1666666666667,62.,1980-03-01--24:00:00,140.36276,344.60005,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1667805100185,62.041666666666664,1980-03-02--01:00:00,141.01032,8.17745,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.16689435337,62.08333333333333,1980-03-02--02:00:00,137.5149,30.452690000000004,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1670081967216,62.125,1980-03-02--03:00:00,130.79647,49.05378,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.167122040073,62.166666666666664,1980-03-02--04:00:00,122.05469000000001,64.08892,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1672358834246,62.20833333333333,1980-03-02--05:00:00,112.19974,76.66766000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1673497267761,62.25,1980-03-02--06:00:00,101.82925,87.87589000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1674635701277,62.291666666666664,1980-03-02--07:00:00,91.19267,98.58445,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1675774134792,62.33333333333333,1980-03-02--08:00:00,81.18187,109.52419,192.70000000000002,1257.04,31.,12,0.,72,0.,12,31.,72,NA,11,NA,11,-
1980.1676912568307,62.375,1980-03-02--09:00:00,71.78790000000001,121.37758000000001,432.89,1385.09,127.,12,3.13,72,10.,12,123.87,72,NA,11,NA,11,-
1980.1678051001822,62.416666666666664,1980-03-02--10:00:00,63.562990000000006,134.80357,616.65,1385.06,252.,12,33.84,72,76.,12,218.16,72,NA,11,NA,11,-
1980.1679189435338,62.45833333333333,1980-03-02--11:00:00,57.191660000000006,150.30627,750.45,1385.03,482.,12,294.76,72,544.,12,187.24,72,NA,11,NA,11,-
1980.1680327868855,62.5,1980-03-02--12:00:00,53.43618000000001,167.85585,825.07,1385.,387.,12,91.14,72,153.,12,295.86,72,NA,11,NA,11,-
1980.168146630237,62.541666666666664,1980-03-02--13:00:00,52.9016,186.47488,835.4,1384.97,443.,12,176.13,72,292.,12,266.87,72,NA,11,NA,11,-
1980.1682604735886,62.58333333333333,1980-03-02--14:00:00,55.685660000000006,204.51706000000001,780.74,1384.94,542.,12,383.90000000000003,72,681.,12,158.1,72,NA,11,NA,11,-
1980.1683743169401,62.625,1980-03-02--15:00:00,61.309630000000006,220.71343000000002,664.86,1384.91,400.,12,226.12,72,471.,12,173.88,72,NA,11,NA,11,-
1980.1684881602916,62.666666666666664,1980-03-02--16:00:00,69.02314000000001,234.76449000000002,495.78000000000003,1384.88,283.,12,199.76,72,558.,12,83.24,72,NA,11,NA,11,-
1980.1686020036432,62.70833333333333,1980-03-02--17:00:00,78.10791,247.05898000000002,285.38,1384.8600000000001,105.,12,19.78,72,96.,12,85.22,72,NA,11,NA,11,-
1980.1687158469947,62.75,1980-03-02--18:00:00,87.84938000000001,258.23285000000004,51.97,1384.83,7.,12,0.68,72,18.,12,6.32,72,NA,11,NA,11,-
1980.1688296903462,62.791666666666664,1980-03-02--19:00:00,98.46315000000001,268.96482000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1689435336978,62.83333333333333,1980-03-02--20:00:00,108.88172000000002,279.96347000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1690573770493,62.875,1980-03-02--21:00:00,118.91445000000002,292.04350000000005,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1691712204008,62.916666666666664,1980-03-02--22:00:00,128.03442,306.21517,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1692850637526,62.95833333333333,1980-03-02--23:00:00,135.43795,323.61361000000005,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.169398907104,63.,1980-03-02--24:00:00,139.99595000000002,344.79033000000004,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1695127504556,63.041666666666664,1980-03-03--01:00:00,140.62395,8.198500000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1696265938072,63.08333333333333,1980-03-03--02:00:00,137.13825,30.323580000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1697404371587,63.125,1980-03-03--03:00:00,130.44376,48.844660000000005,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1698542805102,63.166666666666664,1980-03-03--04:00:00,121.72432,63.85181000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1699681238617,63.20833333333333,1980-03-03--05:00:00,111.88380000000001,76.42646,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1700819672133,63.25,1980-03-03--06:00:00,101.51857000000001,87.63934,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1701958105648,63.291666666666664,1980-03-03--07:00:00,90.81594000000001,98.35587000000001,0,0.,2.,12,0.,72,0.,12,2.,72,NA,11,NA,11,-
1980.1703096539163,63.33333333333333,1980-03-03--08:00:00,80.86293,109.30702000000001,207.71,1308.05,44.,12,0.,72,0.,12,44.,72,NA,11,NA,11,-
1980.1704234972678,63.375,1980-03-03--09:00:00,71.4504,121.17946,440.41,1384.38,121.,12,0.,72,0.,12,121.,72,NA,11,NA,11,-
1980.1705373406196,63.416666666666664,1980-03-03--10:00:00,63.204710000000006,134.64063000000002,624.07,1384.3500000000001,189.,12,3.61,72,8.,12,185.39000000000001,72,NA,11,NA,11,-
1980.1706511839711,63.45833333333333,1980-03-03--11:00:00,56.813970000000005,150.20588,757.72,1384.32,326.,12,48.71,72,89.,12,277.29,72,NA,11,NA,11,-
1980.1707650273227,63.5,1980-03-03--12:00:00,53.04912,167.85025000000002,832.14,1384.29,394.,12,91.97,72,153.,12,302.03000000000003,72,NA,11,NA,11,-
1980.1708788706742,63.541666666666664,1980-03-03--13:00:00,52.523480000000006,186.57955,842.23,1384.26,437.,12,120.47,72,198.,12,316.53000000000003,72,NA,11,NA,11,-
1980.1709927140257,63.58333333333333,1980-03-03--14:00:00,55.33429,204.71455,787.33,1384.23,285.,12,9.1,72,16.,12,275.90000000000003,72,NA,11,NA,11,-
1980.1711065573772,63.625,1980-03-03--15:00:00,60.993170000000006,220.96829000000002,671.22,1384.2,250.,12,14.55,72,30.,12,235.45000000000002,72,NA,11,NA,11,-
1980.1712204007288,63.666666666666664,1980-03-03--16:00:00,68.73977000000001,235.04736000000003,501.91,1384.17,162.,12,4.71,72,13.,12,157.29,72,NA,11,NA,11,-
1980.1713342440803,63.70833333333333,1980-03-03--17:00:00,77.85093,247.35438000000002,291.3,1384.14,55.,12,0.21,72,1.,12,54.79,72,NA,11,NA,11,-
1980.1714480874318,63.75,1980-03-03--18:00:00,87.62258000000001,258.53574000000003,57.42,1384.1100000000001,8.,12,0.33,72,8.,12,7.67,72,NA,11,NA,11,-
