"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
1980.3306295537343,122.01041666666666,"1980-05-01--00:15:00",118.86889000000001,5.045310000000001,0,0.,0.91,12,-0.15,72,-0.15,12,0.91,72,6.3,11,0.78,11,0.3,11,"-"
1980.3306390406801,122.01388888888889,"1980-05-01--00:20:00",118.78079000000001,6.41901,0,0.,1.3900000000000001,12,0.25,72,0.25,12,1.3900000000000001,72,6.5600000000000005,11,1.26,11,0.7000000000000001,11,"-"
1980.3306485276262,122.0173611111111,"1980-05-01--00:25:00",118.67195000000001,7.789470000000001,0,0.,1.85,12,1.05,72,1.05,12,1.85,72,7.,11,1.72,11,1.5,11,"-"
1980.3306580145722,122.02083333333333,"1980-05-01--00:30:00",118.54248000000001,9.156030000000001,0,0.,1.3900000000000001,12,0.25,72,0.25,12,1.3900000000000001,72,7.09,11,1.26,11,0.7000000000000001,11,"-"
1980.330667501518,122.02430555555554,"1980-05-01--00:35:00",118.39253000000001,10.51806,0,0.,1.3900000000000001,12,0.65,72,0.65,12,1.3900000000000001,72,7.09,11,1.26,11,1.1,11,"-"
1980.3306769884641,122.02777777777777,"1980-05-01--00:40:00",118.22224000000001,11.87494,0,0.,0.91,12,0.25,72,0.25,12,0.91,72,7.17,11,0.78,11,0.7000000000000001,11,"-"
1980.33068647541,122.03125,"1980-05-01--00:45:00",118.0318,13.226070000000002,0,0.,0.44,12,0.65,72,0.65,12,0.44,72,7.17,11,0.31,11,1.1,11,"-"
1980.330695962356,122.03472222222221,"1980-05-01--00:50:00",117.82140000000001,14.57088,0,0.,0.91,12,0.25,72,0.25,12,0.91,72,7.3500000000000005,11,0.78,11,0.7000000000000001,11,"-"
1980.3307054493018,122.03819444444444,"1980-05-01--00:55:00",117.59125000000002,15.908820000000002,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,7.17,11,-0.16,11,-0.1,11,"-"
1980.330714936248,122.04166666666666,"1980-05-01--01:00:00",117.34158000000001,17.23937,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.91,11,-0.63,11,-0.1,11,"-"
1980.330724423194,122.04513888888889,"1980-05-01--01:05:00",117.07264,18.56203,0,0.,-0.5,12,0.65,72,0.65,12,-0.5,72,7.09,11,-0.63,11,1.1,11,"-"
