Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1980.666923,245.09375,1980-09-01--02:15:00,118.10332,38.70383,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,14.19,11,0.31,11,1.91,11,-
1980.666932,245.0972222,1980-09-01--02:20:00,117.55193,39.95704,0,0,-0.95,12,0.17,72,0.17,12,-0.95,72,14.19,11,0.31,11,2.71,11,-
1980.666942,245.1006944,1980-09-01--02:25:00,116.986,41.19563,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.28,11,0.78,11,2.31,11,-
1980.666951,245.1041667,1980-09-01--02:30:00,116.40595,42.4197,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.19,11,0.31,11,2.31,11,-
1980.666961,245.1076389,1980-09-01--02:35:00,115.81221,43.62937,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.09,11,0.31,11,2.31,11,-
1980.66697,245.1111111,1980-09-01--02:40:00,115.20521,44.82479,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.09,11,0.78,11,2.31,11,-
1980.66698,245.1145833,1980-09-01--02:45:00,114.58536,46.00614,0,0,-1.42,12,-0.23,72,-0.23,12,-1.42,72,13.99,11,-0.16,11,2.31,11,-
1980.666989,245.1180556,1980-09-01--02:50:00,113.95307,47.17363,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,13.89,11,0.31,11,2.31,11,-
1980.666999,245.1215278,1980-09-01--02:55:00,113.30875,48.32748,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,13.89,11,0.31,11,2.31,11,-
1980.667008,245.125,1980-09-01--03:00:00,112.65279,49.46793,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,13.79,11,0.31,11,2.31,11,-
1980.667018,245.1284722,1980-09-01--03:05:00,111.98559,50.59524,0,0,NA,99,NA,99,NA,99,NA,99,14.87,99,2.67,99,7.54,99,-
1980.667027,245.1319444,1980-09-01--03:10:00,111.30752,51.70969,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,13.89,11,0.31,11,2.31,11,-
1980.667037,245.1354167,1980-09-01--03:15:00,110.61896,52.81157,0,0,-1.42,12,-1.44,72,-1.44,12,-1.42,72,13.4,11,-0.16,11,1.1,11,-
1980.667046,245.1388889,1980-09-01--03:20:00,109.92028,53.90119,0,0,-3.31,12,-2.24,72,-2.24,12,-3.31,72,12.52,11,-2.05,11,0.3,11,-
1980.667056,245.1423611,1980-09-01--03:25:00,109.21184,54.97886,0,0,-2.83,12,-1.84,72,-1.84,12,-2.83,72,12.23,11,-1.57,11,0.7,11,-
1980.667065,245.1458333,1980-09-01--03:30:00,108.49398,56.0449,0,0,-1.89,12,-1.44,72,-1.44,12,-1.89,72,12.03,11,-0.63,11,1.1,11,-
1980.667075,245.1493056,1980-09-01--03:35:00,107.76704,57.09965,0,0,-1.42,12,-0.63,72,-0.63,12,-1.42,72,12.13,11,-0.16,11,1.91,11,-
1980.667084,245.1527778,1980-09-01--03:40:00,107.03136,58.14346,0,0,-0.95,12,0.17,72,0.17,12,-0.95,72,12.23,11,0.31,11,2.71,11,-
1980.667094,245.15625,1980-09-01--03:45:00,106.28725,59.17667,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,12.33,11,0.78,11,2.71,11,-
1980.667103,245.1597222,1980-09-01--03:50:00,105.53503,60.19963,0,0,0.46,12,0.57,72,0.57,12,0.46,72,12.62,11,1.72,11,3.11,11,-
1980.667113,245.1631944,1980-09-01--03:55:00,104.775,61.21272,0,0,0,12,0.57,72,0.57,12,0,72,12.82,11,1.26,11,3.11,11,-
1980.667122,245.1666667,1980-09-01--04:00:00,104.00745,62.21628,0,0,0,12,-0.23,72,-0.23,12,0,72,12.62,11,1.26,11,2.31,11,-
1980.667132,245.1701389,1980-09-01--04:05:00,103.23267,63.21069,0,0,NA,99,NA,99,NA,99,NA,99,12.82,99,1.26,99,3.11,99,-
1980.667141,245.1736111,1980-09-01--04:10:00,102.45091,64.19631,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,12.13,11,0.31,11,1.91,11,-
1980.667151,245.1770833,1980-09-01--04:15:00,101.66242,65.17353,0,0,-1.42,12,-1.04,72,-1.04,12,-1.42,72,11.93,11,-0.16,11,1.5,11,-
1980.66716,245.1805556,1980-09-01--04:20:00,100.86745,66.14272,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,11.84,11,0.31,11,1.91,11,-
1980.667169,245.1840278,1980-09-01--04:25:00,100.0662,67.10424,0,0,-0.95,12,-1.04,72,-1.04,12,-0.95,72,11.54,11,0.31,11,1.5,11,-
1980.667179,245.1875,1980-09-01--04:30:00,99.25884,68.05849,0,0,-1.42,12,-1.44,72,-1.44,12,-1.42,72,11.15,11,-0.16,11,1.1,11,-
1980.667188,245.1909722,1980-09-01--04:35:00,98.44553,69.00583,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,11.05,11,0.31,11,1.91,11,-
1980.667198,245.1944444,1980-09-01--04:40:00,97.62634,69.94666,0,0,-0.48,12,-0.63,72,-0.63,12,-0.48,72,11.25,11,0.78,11,1.91,11,-
1980.667207,245.1979167,1980-09-01--04:45:00,96.80125,70.88134,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,10.96,11,0.31,11,1.91,11,-
1980.667217,245.2013889,1980-09-01--04:50:00,95.97009,71.81026,0,0,0,12,0.17,72,0.17,12,0,72,11.05,11,1.26,11,2.71,11,-
1980.667226,245.2048611,1980-09-01--04:55:00,95.13242,72.7338,0,0,0.46,12,-0.23,72,-0.23,12,0.46,72,11.25,11,1.72,11,2.31,11,-
1980.667236,245.2083333,1980-09-01--05:00:00,94.28724,73.65235,0,0,0,12,-0.23,72,-0.23,12,0,72,11.05,11,1.26,11,2.31,11,-
1980.667245,245.2118056,1980-09-01--05:05:00,93.4324,74.56629,0,0,NA,99,NA,99,NA,99,NA,99,11.64,99,4.08,99,3.92,99,-
1980.667255,245.2152778,1980-09-01--05:10:00,92.56267,75.476,0,0,5.65,12,0.57,72,0.57,12,5.65,72,11.35,11,6.91,11,3.11,11,-
1980.667264,245.21875,1980-09-01--05:15:00,91.66279,76.38186,0,0,8.48,12,0.57,72,0.57,12,8.48,72,11.54,11,9.74,11,3.11,11,-
1980.667274,245.2222222,1980-09-01--05:20:00,90.6643,77.28426,0,0,11.3,12,0.57,72,0.57,12,11.3,72,11.54,11,12.56,11,3.11,11,-
1980.667283,245.2256944,1980-09-01--05:25:00,89.64715,78.1836,5.01,814.1,12.24,92,0,92,0.17,92,12.24,92,11.35,11,13.5,91,2.71,91,-
1980.667293,245.2291667,1980-09-01--05:30:00,88.90198,79.08025,25.6,1335.91,16.48,92,0.26,92,13.45,92,16.22,92,11.25,11,17.74,91,15.99,91,-
1980.667302,245.2326389,1980-09-01--05:35:00,88.12312,79.97461,43.75,1335.91,23.55,92,4.46,92,136.16,92,19.09,92,11.15,11,24.81,91,138.7,91,-
1980.667312,245.2361111,1980-09-01--05:40:00,87.32032,80.86706,62.46,1335.91,33.44,12,8.89,72,190.08,12,24.55,72,11.54,11,34.7,11,192.62,11,-
1980.667321,245.2395833,1980-09-01--05:45:00,86.50101,81.75801,81.53,1335.91,41.92,12,13,72,213.01,12,28.92,72,11.93,11,43.18,11,215.55,11,-
1980.667331,245.2430556,1980-09-01--05:50:00,85.67016,82.64784,100.86,1335.92,47.57,12,21.94,72,290.66,12,25.63,72,12.52,11,48.83,11,293.2,11,-
1980.66734,245.2465278,1980-09-01--05:55:00,84.82899,83.53696,120.4,1335.92,76.31,12,29.57,72,328.08,12,46.74,72,13.11,11,77.57,11,330.62,11,-
1980.66735,245.25,1980-09-01--06:00:00,83.98257,84.42578,140.05,1335.92,90.44,12,36.88,72,351.81,12,53.56,72,13.79,11,91.7,11,354.35,11,-
1980.667359,245.2534722,1980-09-01--06:05:00,83.13061,85.31468,159.78,1335.92,NA,99,NA,99,NA,99,NA,99,14.48,99,83.68,99,234.46,99,-
1980.667369,245.2569444,1980-09-01--06:10:00,82.2749,86.20409,179.58,1335.92,78.19,12,15.92,72,118.46,12,62.27,72,14.09,11,79.45,11,121,11,-
1980.667378,245.2604167,1980-09-01--06:15:00,81.41624,87.09442,199.39,1335.93,81.96,12,9.99,72,66.96,12,71.97,72,14.28,11,83.22,11,69.5,11,-
1980.667388,245.2638889,1980-09-01--06:20:00,80.55527,87.98609,219.22,1335.93,95.14,12,19.5,72,118.86,12,75.64,72,14.28,11,96.4,11,121.4,11,-
1980.667397,245.2673611,1980-09-01--06:25:00,79.69254,88.87951,239.04,1335.93,101.75,12,24.87,72,138.98,12,76.88,72,14.68,11,103.01,11,141.52,11,-
1980.667407,245.2708333,1980-09-01--06:30:00,78.82852,89.77513,258.83,1335.93,115.87,12,34.8,72,179.62,12,81.07,72,14.97,11,117.13,11,182.16,11,-
1980.667416,245.2743056,1980-09-01--06:35:00,77.96362,90.67337,278.59,1335.94,113.99,12,31.33,72,150.24,12,82.66,72,15.26,11,115.25,11,152.78,11,-
1980.667426,245.2777778,1980-09-01--06:40:00,77.09818,91.57467,298.29,1335.94,104.1,12,22.14,72,99.15,12,81.96,72,15.16,11,105.36,11,101.69,11,-
1980.667435,245.28125,1980-09-01--06:45:00,76.23256,92.47948,317.93,1335.94,90.9,12,13.54,72,56.9,12,77.36,72,15.16,11,92.16,11,59.44,11,-
1980.667445,245.2847222,1980-09-01--06:50:00,75.36707,93.38827,337.49,1335.94,77.72,12,1.47,72,5.81,12,76.25,72,15.07,11,78.98,11,8.35,11,-
1980.667454,245.2881944,1980-09-01--06:55:00,74.50199,94.30148,356.97,1335.94,117.76,12,38,72,142.2,12,79.76,72,14.97,11,119.02,11,144.74,11,-
1980.667464,245.2916667,1980-09-01--07:00:00,73.63761,95.21961,376.35,1335.95,224.69,12,143.88,72,510.74,12,80.81,72,15.75,11,225.95,11,513.28,11,-
1980.667473,245.2951389,1980-09-01--07:05:00,72.77422,96.14311,395.62,1335.95,NA,99,NA,99,NA,99,NA,99,17.32,99,225.95,99,502.02,99,-
