Station_ID_Number:,94040,-,-,-,-,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//11,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR_(W/m^2),ETRn_(W/m^2),GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
2020.8399362477232,308.41666666666663,2020-11-03--10:00:00,66.46,141.6,551.57,1384.69,407.59,610.44,343.79,861.83,63.8,2427.35,4736.38,0.275,10.54
2020.8400500910748,308.4583333333333,2020-11-03--11:00:00,60.84,156.44,674.34,1384.72,499.06,736.53,437.06,897.32,62.01,3077.2,6314.52,0.8238,12.68
2020.8401639344265,308.5,2020-11-03--12:00:00,57.96,172.92,734.5,1384.75,544.98,797.7,478.81,902.7,66.17,3360.13,6965.83,1.0562,14.42
2020.840277777778,308.54166666666663,2020-11-03--13:00:00,58.28,189.99,727.91,1384.78,533.6,782.38,465.66,885.79,67.94,3211.32,6681.22,0.6155,16.79
2020.8403916211296,308.5833333333333,2020-11-03--14:00:00,61.75,206.23,655.01,1384.81,415.97,600.23,300.59,625.25,115.39,2327.25,4726.2,0.279,19.18
2020.840505464481,308.625,2020-11-03--15:00:00,67.83,220.72,520.82,1384.84,267.03,398.39,193.18,524.6,73.85,1372.32,2341.52,0.4183,20.16
2020.8406193078326,308.66666666666663,2020-11-03--16:00:00,75.77,233.3,334.72,1384.87,154.23,241.97,104.39,405.78,49.84,561.4,574.72,0.421,19.77
2020.8407331511842,308.7083333333333,2020-11-03--17:00:00,83.73,244.35,111.94,1361.82,17.96,18.54,0.0,0.0,17.96,-233.67,0.0,0.212,15.46
2020.8408469945357,308.75,2020-11-03--18:00:00,95.84,254.4,0.0,0.0,0.59,0.55,0.0,0.0,0.57,-249.42,0.0,0.1588,13.13
2020.8409608378872,308.79166666666663,2020-11-03--19:00:00,106.76,264.08,0.0,0.0,-0.02,0.0,0.0,0.0,-0.03,-244.6,0.0,0.252,11.59
2020.8410746812388,308.8333333333333,2020-11-03--20:00:00,117.86,274.1,0.0,0.0,-0.01,0.0,0.0,0.0,-0.02,-238.58,0.0,0.1288,10.1
2020.8411885245903,308.875,2020-11-03--21:00:00,128.81,285.44,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-249.17,0.0,0.0675,9.52
2020.8413023679418,308.91666666666663,2020-11-03--22:00:00,139.08,299.65,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-251.67,0.0,0.1585,9.67
2020.8414162112933,308.9583333333333,2020-11-03--23:00:00,147.7,319.28,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-251.12,0.0,0.0253,10.09
2020.841530054645,309.0,2020-11-03--24:00:00,152.81,346.81,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-245.97,0.0,0.138,10.21
2020.8416438979966,309.04166666666663,2020-11-04--01:00:00,152.31,18.46,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-239.22,0.0,0.0688,9.73
2020.8417577413481,309.0833333333333,2020-11-04--02:00:00,146.44,44.65,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-253.75,0.0,0.0757,9.38
2020.8418715846997,309.125,2020-11-04--03:00:00,137.45,63.16,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-230.82,0.0,0.073,9.63
