Station_ID_Number:,94040,-,-.1,-.2,-.3,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35965_GHI),LICOR(PY35962),RSP(PY35965_DNI),RSP(PY35965_DNI),RSP(PY35965_DHI),PV5kw,PV15kw,WS,TEMP
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,10.328600000000002,9.439430000000002,-,10.328600000000002,10.328600000000002,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.137,9.332,3.137,3.137,3.137,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2005//01,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2005//04,1700,1800,75.0,270.0,336.555,1356.925,105.11,0.0,30.01,109.94,75.1,58.75,153.94,0.75,0.0
2005//04,1800,1900,84.0,280.0,90.424,1144.908,20.34,0.0,0.52,5.79,19.82,-241.0,2.92,0.52,0.0
2005//04,1900,2000,96.0,291.0,0.146,22.452,0.2,0.0,0.0,0.33,0.2,-256.84,0.0,0.38,0.0
2005//04,2000,2100,107.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.14,0.0,0.3,0.0
2005//04,2100,2200,116.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.72,0.0,0.21,0.0
2005//04,2200,2300,122.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.06,0.0,0.18,0.0
2005//04,2300,2400,127.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258.66,0.0,0.15,0.0
2005//05,0,100,119.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.43,0.0,0.19,0.0
2005//05,100,200,116.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.83,0.0,0.18,0.0
2005//05,200,300,111.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.96,0.0,0.17,0.0
2005//05,300,400,103.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258.69,0.0,0.16,0.0
2005//05,400,500,91.0,59.0,3.841,181.521,1.22,0.0,0.0,4.57,1.21,-257.04,0.0,0.2,0.0
2005//05,500,600,83.0,69.0,143.75,1308.175,41.74,0.0,14.54,98.35,27.2,-236.4,67.14,0.2,0.0
2005//05,600,700,73.0,79.0,384.493,1336.481,145.68,0.0,61.9,203.25,83.78,44.38,951.46,0.27,0.0
2005//05,700,800,62.0,88.0,621.228,1336.458,288.57,0.0,128.11,268.86,160.46,762.48,2714.51,0.41,0.0
2005//05,800,900,51.0,99.0,835.854,1336.435,393.51,0.0,174.78,276.08,218.73,1370.08,3796.56,0.63,0.0
2005//05,900,1000,41.0,112.0,1013.539,1336.412,505.31,0.0,224.66,293.25,280.65,1919.83,4971.75,0.81,0.0
2005//05,1000,1100,31.0,130.0,1142.128,1336.387,644.42,0.0,337.69,393.58,306.73,2523.9,5990.7,0.94,0.0
2005//05,1100,1200,25.0,157.0,1212.853,1336.364,641.09,0.0,304.63,333.86,336.46,2528.07,5935.74,1.09,0.0
2005//05,1200,1300,24.0,192.0,1220.9,1336.341,635.91,0.0,318.21,345.59,317.69,2646.85,6170.74,1.1,0.0
2005//05,1300,1400,29.0,222.0,1165.741,1336.316,621.13,0.0,325.55,370.4,295.58,2525.7,5883.67,1.03,0.0
