Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,5,3.362,10,10,30,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2019//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2019//04,200,300,119.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-250.67,0.0,0.27,7.86
2019//04,300,400,111.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-246.08,0.0,0.28,7.48
2019//04,400,500,101.0,65.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,-246.74,0.0,0.38,7.24
2019//04,500,600,87.0,76.0,32.031,642.283,10.9,6.69,3.66,35.41,7.23,-246.55,0.08,0.39,7.11
2019//04,600,700,79.0,86.0,238.817,1351.122,92.0,76.03,46.29,207.39,45.71,-39.25,323.91,0.4,8.31
2019//04,700,800,69.0,96.0,488.145,1351.09,219.11,219.78,122.59,307.56,96.52,659.07,1819.47,0.42,10.07
2019//04,800,900,58.0,107.0,715.829,1351.058,391.32,420.67,233.64,420.49,157.68,1774.42,4338.24,0.67,11.59
2019//04,900,1000,48.0,120.0,905.543,1351.027,532.12,591.89,343.51,495.13,188.62,2646.46,6267.98,0.97,12.81
2019//04,1000,1100,39.0,138.0,1044.241,1350.995,611.83,686.24,408.76,514.36,203.07,3075.3,7211.18,1.18,13.84
2019//04,1100,1200,34.0,161.0,1122.452,1350.963,644.0,718.22,431.06,506.03,212.95,3202.77,7444.7,1.14,14.88
2019//04,1200,1300,33.0,189.0,1134.853,1350.931,682.5,761.75,457.39,533.79,225.1,3394.42,7837.52,1.25,15.84
2019//04,1300,1400,37.0,214.0,1080.619,1350.898,628.83,701.64,420.61,515.69,208.23,3108.69,7195.72,1.47,16.64
2019//04,1400,1500,44.0,234.0,963.484,1350.867,533.36,587.74,334.16,456.32,199.21,2548.15,5547.74,1.35,17.18
2019//04,1500,1600,54.0,248.0,791.479,1350.835,401.67,434.58,250.83,412.18,150.85,1766.2,2559.63,1.31,17.24
2019//04,1600,1700,65.0,260.0,576.437,1350.803,276.89,286.07,172.53,387.99,104.36,928.42,975.86,1.14,16.97
2019//04,1700,1800,75.0,271.0,333.372,1350.772,135.71,124.64,79.01,289.18,56.7,87.12,177.26,0.94,16.31
2019//04,1800,1900,84.0,281.0,88.678,1129.947,29.47,20.9,11.02,79.66,18.45,-231.5,2.64,0.74,14.76
2019//04,1900,2000,96.0,291.0,0.139,20.865,0.31,0.25,0.0,0.0,0.29,-250.63,0.0,0.5,13.25
2019//04,2000,2100,107.0,302.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.03,-251.41,0.0,0.44,12.27
2019//04,2100,2200,116.0,315.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-250.63,0.0,0.39,11.2
2019//04,2200,2300,123.0,330.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.02,-250.27,0.0,0.3,10.05
2019//04,2300,2400,127.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-249.68,0.0,0.3,9.34
2019//05,0,100,119.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-253.72,0.0,0.21,10.37
2019//05,100,200,116.0,22.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-252.12,0.0,0.12,9.8
2019//05,200,300,111.0,36.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-251.88,0.0,0.14,9.13
2019//05,300,400,103.0,49.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-250.58,0.0,0.12,8.56
2019//05,400,500,90.0,60.0,3.805,203.249,1.17,0.95,0.0,0.06,1.17,-247.74,0.0,0.11,8.04
2019//05,500,600,83.0,70.0,141.773,1309.554,44.6,25.52,16.38,119.93,28.21,-223.9,23.63,0.14,8.51
2019//05,600,700,73.0,79.0,381.416,1330.42,166.6,137.63,91.9,326.66,74.69,184.36,759.86,0.25,10.74
2019//05,700,800,62.0,89.0,617.197,1330.397,324.41,317.39,194.8,423.91,129.62,1066.11,2755.45,0.46,12.73
2019//05,800,900,51.0,99.0,830.966,1330.374,498.53,519.82,324.14,520.5,174.39,2168.63,5249.99,0.86,14.2
2019//05,900,1000,41.0,112.0,1007.948,1330.349,638.08,686.74,434.24,575.9,203.84,2991.57,7069.95,1.14,15.72
2019//05,1000,1100,31.0,131.0,1136.035,1330.326,747.1,813.56,551.56,647.81,195.54,3543.66,8275.66,1.37,17.3
2019//05,1100,1200,25.0,158.0,1206.49,1330.302,809.41,877.06,598.49,661.7,210.92,3823.04,8836.92,1.47,18.59
2019//05,1200,1300,24.0,193.0,1214.523,1330.279,806.2,871.48,594.23,652.84,211.96,3765.06,8649.93,1.53,19.85
2019//05,1300,1400,29.0,223.0,1159.606,1330.255,763.75,827.01,547.3,630.19,216.45,3487.99,7883.36,1.57,20.84
2019//05,1400,1500,38.0,243.0,1045.501,1330.233,667.62,717.59,457.16,582.67,210.45,2994.68,6220.71,1.57,21.4
2019//05,1500,1600,49.0,257.0,880.023,1330.21,498.67,524.4,320.57,488.9,178.1,2062.75,2505.42,1.51,21.34
2019//05,1600,1700,59.0,269.0,674.51,1330.185,346.63,346.17,201.98,401.85,144.65,1172.31,1110.63,1.26,21.12
2019//05,1700,1800,70.0,278.0,443.135,1330.163,210.42,188.39,111.53,340.95,98.9,326.77,427.3,1.08,20.51
2019//05,1800,1900,80.0,288.0,202.611,1330.14,79.76,55.4,30.32,181.22,49.45,-163.17,64.1,0.91,19.12
2019//05,1900,2000,87.0,298.0,18.668,528.447,7.37,5.51,0.52,7.12,6.85,-249.61,0.2,0.72,17.18
2019//05,2000,2100,101.0,308.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-251.68,0.0,0.57,15.75
2019//05,2100,2200,109.0,321.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-249.03,0.0,0.37,14.03
2019//05,2200,2300,115.0,334.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-250.77,0.0,0.29,12.71
2019//05,2300,2400,118.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-252.56,0.0,0.25,11.62
2019//06,0,100,115.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-252.79,0.0,0.17,14.12
2019//06,100,200,112.0,19.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-251.98,0.0,0.12,12.97
2019//06,200,300,107.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-249.58,0.0,0.14,12.07
2019//06,300,400,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-250.24,0.0,0.13,11.2
2019//06,400,500,88.0,56.0,14.299,505.245,4.52,3.77,0.0,0.0,4.51,-250.39,0.0,0.12,10.5
2019//06,500,600,81.0,66.0,188.597,1318.022,96.27,35.08,58.76,370.39,37.51,-234.62,32.99,0.2,12.15
2019//06,600,700,71.0,75.0,420.524,1318.012,268.69,204.13,202.81,629.79,65.89,52.02,1131.83,0.26,15.34
2019//06,700,800,60.0,84.0,648.631,1318.003,436.89,410.53,356.51,722.08,80.38,584.08,3555.83,0.54,17.28
2019//06,800,900,49.0,95.0,856.453,1317.993,604.35,614.04,503.19,774.02,101.16,1170.89,6169.44,0.98,18.39
2019//06,900,1000,39.0,107.0,1029.677,1317.983,754.34,793.42,639.89,818.44,114.45,1638.44,8104.79,1.23,20.04
2019//06,1000,1100,29.0,124.0,1156.453,1317.973,883.76,940.77,753.87,859.41,129.89,1996.48,9437.32,1.4,21.86
2019//06,1100,1200,21.0,152.0,1228.127,1317.965,929.36,985.86,792.99,850.92,136.37,2065.6,9752.04,1.58,23.28
2019//06,1200,1300,20.0,193.0,1239.812,1317.956,947.21,1000.42,805.85,856.65,141.36,2109.66,9781.24,1.66,24.71
2019//06,1300,1400,25.0,226.0,1190.713,1317.945,899.6,955.76,760.29,841.21,139.31,1996.15,9199.45,1.66,25.97
2019//06,1400,1500,35.0,247.0,1084.186,1317.936,813.64,860.45,686.41,834.3,127.23,1753.07,7643.48,1.63,26.85
2019//06,1500,1600,45.0,261.0,927.502,1317.926,665.52,686.56,536.71,760.55,128.81,1327.11,3328.67,1.64,27.18
2019//06,1600,1700,56.0,272.0,731.377,1317.916,490.74,479.04,373.57,670.94,117.17,762.38,1192.1,1.6,26.96
2019//06,1700,1800,67.0,281.0,509.273,1317.908,316.37,273.12,231.1,592.46,85.27,149.0,418.25,1.5,26.29
2019//06,1800,1900,77.0,290.0,276.742,1317.898,150.54,93.91,94.35,434.2,56.19,-191.24,82.52,1.31,25.0
2019//06,1900,2000,85.0,300.0,60.098,1011.007,25.31,12.11,9.32,101.46,15.99,-249.82,0.11,0.95,22.74
2019//06,2000,2100,97.0,310.0,0.0,0.0,0.12,0.05,0.0,0.0,0.12,-248.35,0.0,0.67,20.67
2019//06,2100,2200,105.0,322.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-249.34,0.0,0.41,18.62
2019//06,2200,2300,111.0,335.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-252.06,0.0,0.26,16.82
2019//06,2300,2400,114.0,349.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-253.18,0.0,0.2,15.38
2019//07,0,100,117.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-253.67,0.0,0.16,17.19
2019//07,100,200,114.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-252.47,0.0,0.13,16.16
2019//07,200,300,110.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-250.24,0.0,0.09,15.2
2019//07,300,400,103.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.12,0.0,0.04,14.35
2019//07,400,500,90.0,57.0,3.547,205.139,1.89,1.56,0.0,0.0,1.89,-247.72,0.0,0.05,13.67
2019//07,500,600,83.0,67.0,139.349,1309.59,60.75,29.96,26.15,180.61,34.58,-244.54,17.46,0.05,14.33
2019//07,600,700,73.0,76.0,372.736,1316.689,202.38,146.78,119.73,419.09,82.66,-54.39,745.3,0.14,16.95
2019//07,700,800,63.0,85.0,604.633,1316.696,372.44,348.74,254.47,552.15,117.97,432.84,2763.55,0.33,19.16
2019//07,800,900,52.0,96.0,817.391,1316.702,551.21,558.75,403.58,649.99,147.63,991.93,5340.94,0.79,20.37
2019//07,900,1000,41.0,108.0,996.282,1316.708,715.14,755.08,563.34,743.83,151.44,1518.33,7448.67,1.04,21.88
2019//07,1000,1100,31.0,125.0,1129.045,1316.714,822.97,880.9,659.05,769.2,163.93,1787.36,8594.73,1.27,23.48
2019//07,1100,1200,24.0,151.0,1206.597,1316.72,905.93,968.42,751.94,820.68,153.99,1921.67,9383.59,1.48,25.08
2019//07,1200,1300,22.0,188.0,1223.631,1316.728,906.45,964.17,743.58,800.52,162.88,1898.4,9244.61,1.72,26.54
