Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C
Years:,2007-2014,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/YY,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
02//06,37,-,1.336,3.31,2.523875,2.668,1.444,4.76,3.325625,3.6025,0.01,2.34,1.339625,1.4,0.025,5.7090000000000005,3.117125,3.1370000000000005,0.713,1.476,1.18425,1.251,0.803,16.289,9.217875000000001,8.5945,17.795,60.295,43.0735,47.416,0.1387847222222222,3.2772569444444444,0.9371267361111111,0.6365277777777778,-1.3,5.0200000000000005,1.6325,1.415
02//07,38,-,1.2630000000000001,3.428,2.207875,2.157,1.28,5.024,2.787,2.511,0.024,2.845,0.902375,0.683,0.057,6.525,1.98425,1.423,0.583,1.978,1.3053750000000002,1.2735,0.136,18.548000000000002,7.04275,6.596,14.530000000000001,65.214,35.466375,33.162,0.17517361111111113,2.545729166666667,0.8894314236111112,0.4306076388888889,-0.71,5.12,2.48625,2.8
02//08,39,-,0.897,2.704,1.6960000000000002,1.5350000000000001,0.931,3.334,1.956625,1.733,0.0,1.051,0.34975,0.10250000000000001,0.0,2.153,0.84375,0.268,0.671,1.827,1.346125,1.4665,-4.027,10.625,3.114375,2.168,9.376,43.876,23.52925,20.057000000000002,0.029409722222222226,1.5983680555555555,0.5716232638888888,0.35449652777777774,-2.84,5.33,0.5262500000000001,0.53
02//09,40,-,1.62,3.596,3.00875,3.223,2.011,5.355,4.115,4.407,0.52,3.158,1.9175,2.0355,1.226,7.535,4.260125,4.313000000000001,0.437,1.502,1.0915000000000001,1.1705,3.361,19.368000000000002,13.54325,15.9475,23.186,67.84100000000001,53.9775,58.507000000000005,0.10677083333333333,1.3076041666666667,0.41229600694444446,0.3011284722222222,-5.74,5.38,0.1175,-0.45
02//10,41,-,1.154,3.628,2.371,2.3425000000000002,1.203,5.2410000000000005,3.032,2.833,0.006,2.972,1.152375,0.8195,0.02,7.063,2.598375,1.701,0.599,1.797,1.21875,1.312,-2.443,18.782,7.94125,8.316,8.797,65.721,37.221375,36.3265,0.10482638888888889,2.2651388888888886,0.6560069444444444,0.2248784722222222,-4.07,8.040000000000001,0.63375,-0.94
02//11,42,-,1.038,3.495,2.191125,2.0925000000000002,0.974,5.16,2.742875,2.425,0.0,2.674,0.85475,0.47550000000000003,0.0,6.143,1.919625,1.0725,0.8210000000000001,1.806,1.3365,1.395,-2.0,18.315,6.791,5.7925,9.544,64.46300000000001,34.420125,31.5,0.04690972222222223,1.8015277777777778,0.6478255208333333,0.37935763888888896,-3.68,3.71,0.50625,-0.20500000000000002
02//12,43,-,0.584,3.68,2.51625,2.5765000000000002,0.58,5.3,3.290125,3.1790000000000003,0.001,3.057,1.370875,0.9465,0.059000000000000004,7.24,3.155625,2.2785,0.583,1.879,1.145,1.2730000000000001,-3.972,20.573,9.603625000000001,9.933,4.366,67.873,42.070125000000004,42.015,0.17395833333333333,1.7302777777777778,0.7109809027777778,0.5489930555555556,-2.71,6.84,1.0125,-0.335
02//13,44,-,1.073,3.7720000000000002,2.4333750000000003,2.6285,1.078,5.235,2.945875,3.103,0.019,3.209,0.9347500000000001,0.7105,0.053,7.053,2.0100000000000002,1.46,0.562,2.058,1.498625,1.5805,-2.108,19.317,5.371875,1.8905,5.726,67.183,30.433,27.124499999999998,0.1711111111111111,1.6110763888888888,0.6720920138888888,0.4838194444444445,-2.87,6.98,1.63625,1.155
02//14,45,-,0.417,3.9330000000000003,2.17375,2.113,0.406,5.554,2.77475,2.489,0.0,3.329,1.0695000000000001,0.5835,0.003,7.729,2.396875,1.621,0.417,1.693,1.104125,1.1145,-4.929,22.697,6.93425,5.5445,2.07,73.248,34.752625,31.882,0.09208333333333334,2.8667708333333333,0.7615451388888889,0.2694097222222222,-5.21,6.74,1.8187499999999999,1.4649999999999999
02//15,46,-,0.926,4.0280000000000005,3.0965000000000003,3.68,0.9580000000000001,5.719,4.0965,4.8505,0.0,3.492,1.93575,2.019,0.001,8.016,4.31425,4.291,0.457,1.901,1.1605,1.204,-2.1670000000000003,22.119,12.961625,16.6,9.493,71.01,49.994375,59.028000000000006,0.09899305555555556,3.8876736111111114,0.9742621527777778,0.39993055555555557,-3.6,5.49,1.6575,2.0
