MM/DD,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//21,21,-,0.685,3.0260000000000002,1.9646000000000001,2.0810000000000004,0.577,4.627,2.7668333333333335,2.8585000000000003,0.002,2.636,0.98575,0.801,0.005,7.382000000000001,2.59255,1.9465,0.391,1.479,0.97895,1.0310000000000001,-5.831,16.609,5.519950000000001,5.3825,7.229,59.918,32.7984,36.2185,0.03940972222222222,3.428576388888889,0.9614940972222223,0.35906250000000006,-5.66,11.48,0.5322222222222223,-0.825,-5.66,16.69,4.76,5.395
01//22,22,-,1.236,3.012,2.16705,2.1260000000000003,1.18,4.644,3.083277777777778,2.893,0.028,2.601,1.1592500000000001,0.9035,0.07,7.238,3.168,2.234,0.41000000000000003,1.484,1.0079,1.158,-5.812,16.629,7.15585,7.176,10.886000000000001,63.352000000000004,36.536500000000004,34.771,0.06166666666666666,3.193159722222222,0.7706302083333333,0.2007638888888889,-4.2700000000000005,6.24,-0.18055555555555555,-0.645,-4.2700000000000005,16.12,4.95075,6.04
01//23,23,-,0.777,2.985,2.1236,2.1465,0.736,4.714,2.9759444444444445,3.0060000000000002,0.0,2.599,1.0463,0.87,0.002,7.140000000000001,2.77335,2.1465,0.385,1.67,1.0772,1.1524999999999999,-5.793,16.6,6.422000000000001,6.343500000000001,7.589,60.881,35.59435,34.569500000000005,0.06083333333333333,3.3786805555555555,0.8812534722222223,0.37085069444444446,-3.85,6.83,0.6666666666666666,0.32,-3.85,19.16,6.099,6.32
01//24,24,-,0.494,3.043,1.89005,1.766,0.49,4.684,2.5099444444444443,1.7670000000000001,0.0,2.62,1.02915,0.34450000000000003,0.0,7.112,2.7786500000000003,0.8855,0.394,1.5270000000000001,0.86085,0.806,-5.757000000000001,16.411,4.235600000000001,2.625,3.178,57.902,30.28845,25.636000000000003,0.10579861111111111,3.8180902777777783,0.8759885416666667,0.24241319444444448,-4.76,9.88,1.6472222222222224,1.36,-4.76,19.5,6.3725000000000005,5.76
01//25,25,-,0.741,3.109,1.8641,1.7305000000000001,0.716,4.687,2.496166666666667,2.115,0.0,2.5,0.82785,0.5085,0.0,6.7860000000000005,2.17205,1.4495,0.438,1.3840000000000001,1.0363,1.1179999999999999,-5.854,16.701,4.72855,4.394500000000001,5.154,58.664,29.5015,24.153,0.07024305555555554,3.2372916666666667,0.8788690972222223,0.35972222222222217,-3.59,12.71,1.495,0.2,-3.59,17.23,6.19225,6.19
01//26,26,-,0.631,3.0540000000000003,1.86625,1.876,0.649,4.724,2.403888888888889,2.2925000000000004,0.001,2.623,0.81105,0.44200000000000006,0.003,7.031000000000001,2.0863,1.323,0.431,1.569,1.0551,1.1280000000000001,-5.9030000000000005,17.066,3.75955,4.1805,6.133,59.612,29.0222,26.945500000000003,0.06435416666666666,2.7971527777777774,0.5914329861111111,0.20015624999999998,-3.5500000000000003,10.19,0.8438888888888889,0.48,-3.5500000000000003,14.870000000000001,5.631,6.475
01//27,27,-,0.516,3.1830000000000003,2.0701,2.092,0.501,4.878,2.8011666666666666,2.737,0.0,2.754,1.0874,0.697,0.0,7.331,2.8266,1.6875,0.41400000000000003,1.6600000000000001,0.98295,1.004,-5.8740000000000006,19.188,5.6029,5.3740000000000006,3.891,65.999,34.702,36.562,0.05288194444444445,1.8817013888888892,0.5316534722222223,0.294375,-5.72,3.8000000000000003,-0.6605555555555556,-0.42500000000000004,-5.72,16.42,5.029,4.734999999999999
01//28,28,-,0.87,3.091,2.00475,2.104,0.975,4.525,2.594611111111111,2.8475,0.001,2.657,0.8353,0.653,0.002,7.087,2.07545,1.7215,0.434,1.817,1.16955,1.2850000000000001,-6.126,15.01,4.621,2.29,0.0,58.207,30.3855,29.974,0.03413194444444445,2.2220833333333334,0.5389444444444444,0.17734375,-6.84,6.59,0.4483333333333333,0.505,-6.84,16.6,5.3415,5.225
01//29,29,-,0.483,3.277,1.9373500000000001,1.8045,0.462,4.76,2.4383333333333335,2.148,0.0,2.7,0.8417,0.495,0.003,6.901,2.1875,1.1955,0.483,1.615,1.0956,1.1455,-6.1240000000000006,19.53,4.2479000000000005,3.7984999999999998,0.0,67.105,29.00845,25.436,0.036145833333333335,1.6529166666666666,0.39479583333333335,0.23758680555555553,-5.8100000000000005,6.390000000000001,0.7216666666666667,1.32,-5.8100000000000005,13.41,5.2395000000000005,4.609999999999999
01//30,30,-,0.557,3.234,2.1549,2.1870000000000003,0.525,4.907,2.843,2.8875,0.0,2.791,1.1526,1.053,0.001,7.197,2.9245,2.656,0.443,1.599,1.00245,0.9595,-6.123,17.183,5.5371,4.413,0.0,60.516,34.2744,36.8065,0.06152777777777777,1.015138888888889,0.24068784722222222,0.1720451388888889,-6.28,6.54,-0.021666666666666636,0.335,-6.28,14.540000000000001,5.06275,5.105
