MM,HH,measurement:,GHI,GHI,GHI,GHI,GHI_Tilt,GHI_Tilt,GHI_Tilt,GHI_Tilt,DrHI_Calc,DrHI_Calc,DrHI_Calc,DrHI_Calc,DNI,DNI,DNI,DNI,DHI,DHI,DHI,DHI,PV_Power,PV_Power,PV_Power,PV_Power,PV_Power.1,PV_Power.1,PV_Power.1,PV_Power.1,Wind_Speed,Wind_Speed,Wind_Speed,Wind_Speed,TEMPERATURE,TEMPERATURE,TEMPERATURE,TEMPERATURE
03,19,-,2.69,4.34,3.659,3.715,2.42,3.75,3.1875,3.26,0.0,0.05,0.0095,0.0,0.0,3.05,0.7755,0.5,2.68,4.31,3.6395,3.7,-269.88,-245.27,-252.667,-252.665,0.0,0.66,0.091,0.0,0.33,1.32,0.6575,0.6,6.78,12.64,9.864375,9.96
03,20,-,-0.04,0.26,0.030500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.22,0.017499999999999998,0.0,-273.37,-245.67,-255.1685,-254.07,0.0,0.0,0.0,0.0,0.34,1.17,0.56,0.515,5.92,10.98,8.651875,8.725000000000001
03,21,-,-0.02,0.25,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.21,0.020499999999999997,0.0,-274.37,-246.37,-255.761,-254.945,0.0,0.0,0.0,0.0,0.26,1.03,0.498,0.435,5.32,9.87,7.70625,7.779999999999999
03,22,-,-0.02,0.18,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.14,0.016,0.0,-272.39,-245.31,-255.189,-255.185,0.0,0.0,0.0,0.0,0.19,0.94,0.4595,0.405,4.79,8.99,6.923125,6.895
03,23,-,-0.01,0.11,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.08,0.006,0.0,-272.46,-246.04,-254.95749999999998,-254.87,0.0,0.0,0.0,0.0,0.16,0.82,0.4145,0.36,4.16,8.19,6.2475,6.365
03,24,-,-0.0,0.04,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,-0.0055,0.0,-271.48,-245.14,-253.765,-254.34,0.0,0.0,0.0,0.0,0.16,0.83,0.402,0.33999999999999997,3.64,7.61,5.6775,5.885
04,01,-,-0.04,0.06,0.0004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.02,-0.008,0.0,-260.68,-244.48,-253.7945,-253.55,0.0,0.0,0.0,0.0,0.09,0.54,0.2875,0.29000000000000004,4.84,9.03,6.695,6.835
04,02,-,-0.09,0.02,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,-0.0165,0.0,-259.87,-244.41,-253.256,-252.875,0.0,0.0,0.0,0.0,0.07,0.43,0.265,0.265,4.08,8.42,6.155,6.305
04,03,-,-0.13,0.01,-0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,-0.025500000000000002,0.0,-259.39,-244.9,-252.9855,-253.075,0.0,0.0,0.0,0.0,0.05,0.43,0.274,0.28,3.64,7.81,5.715625,5.875
04,04,-,-0.16,0.01,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,-0.033,0.0,-257.82,-243.57,-251.095,-251.01,0.0,0.0,0.0,0.0,0.07,0.5,0.277,0.27,3.25,7.29,5.326875,5.54
04,05,-,-0.19,0.02,-0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.01,-0.0365,0.0,-256.08,-243.12,-250.4125,-250.43,0.0,0.0,0.0,0.0,0.08,0.52,0.2675,0.26,2.88,6.78,4.954375,5.14
04,06,-,5.71,13.85,9.1145,8.955,5.21,8.24,7.1275,7.195,0.25,4.29,1.4415,1.1749999999999998,3.23,35.41,13.4765,11.665,5.45,9.54,7.662,7.8100000000000005,-252.94,-239.57,-247.6365,-247.53500000000003,0.0,9.91,2.617,1.5150000000000001,0.09,0.54,0.2675,0.26,2.66,6.42,4.730625,4.875
04,07,-,62.54,112.98,90.4565,90.66,57.39,94.34,80.460625,80.85,10.92,53.91,36.43,37.989999999999995,59.15,247.76,171.552,181.01,45.71,61.87,54.028,54.879999999999995,-160.63,-34.92,-92.209,-98.09,0.0,846.83,520.8845,620.725,0.09,0.52,0.3025,0.29000000000000004,3.63,7.5,5.6325,5.775
04,08,-,188.94,283.6,235.709,236.645,184.43,291.89,241.401875,239.405,47.01,168.98,116.794,121.025,124.31,474.53,310.9035,320.54999999999995,96.52,141.93,118.9155,118.41499999999999,306.44,842.23,692.052,728.4449999999999,0.0,3302.21,2521.716,2904.62,0.21,0.69,0.427,0.42,5.47,10.38,7.423125,7.5
04,09,-,323.29,448.53,399.522,409.995,330.75,489.06,429.35625,435.89,104.79,288.06,222.0685,232.725,194.0,540.53,412.07,431.865,140.96,218.5,177.452,173.39999999999998,912.86,2185.21,1874.2815,1913.475,0.0,6648.26,5226.4895,5859.575,0.41,0.97,0.691,0.73,6.75,12.12,9.073125,9.36
04,10,-,419.45,605.48,538.6415,534.0450000000001,438.96,685.62,593.209375,586.3299999999999,140.55,431.03,314.616,314.23,210.13,641.48,465.1695,467.33000000000004,163.01,278.9,224.0255,222.635,1220.89,3289.86,2718.3255,2796.6949999999997,0.0,9211.27,7340.0715,8248.3,0.56,1.29,0.9445,0.975,8.37,13.6,10.549375,10.775
04,11,-,535.76,706.26,639.0,641.78,571.25,798.03,711.24625,716.88,195.26,504.2,384.26,392.045,251.9,651.84,493.733,505.96500000000003,200.38,340.49,254.739,248.015,1553.46,3788.96,3248.548,3261.4049999999997,0.0,11132.85,8623.112000000001,9589.025,0.73,1.54,1.1125,1.1549999999999998,9.62,15.08,11.89,12.215
04,12,-,545.45,765.73,688.587,684.48,574.08,865.8,770.27875,764.46,179.55,543.5,421.86199999999997,432.125,217.69,652.19,504.6435,513.9649999999999,207.9,365.9,266.726,259.385,1649.52,4148.79,3504.493,3457.125,0.0,11491.84,9132.372,10114.220000000001,0.83,1.76,1.2345,1.21,10.36,16.34,13.07375,13.355
04,13,-,495.26,775.09,689.482,684.21,519.59,879.12,763.1487500000001,742.67,162.55,544.37,420.2675,440.575,194.67,647.28,497.555,520.0649999999999,216.97,332.71,269.215,268.235,1545.96,4157.22,3488.816,3469.2200000000003,0.0,11442.44,9070.2415,10061.425,0.96,1.74,1.312,1.315,11.2,17.61,14.071875,14.235
04,14,-,487.79,723.95,639.1235,649.5999999999999,513.28,808.62,706.5725,711.285,183.15,522.13,387.13,413.975,228.81,652.11,481.2215,512.86,201.82,304.64,251.995,252.72500000000002,1322.6,3763.32,3207.65,3240.625,0.0,10588.79,8400.744,9387.59,0.99,1.64,1.342,1.335,11.94,18.69,14.865625,15.165
04,15,-,400.43,621.65,543.9005,561.62,414.67,675.82,596.28875,609.245,137.53,435.04,321.3365,338.9,191.65,610.67,447.462,469.44,173.88,268.58,222.564,211.07999999999998,1083.19,3208.64,2673.0685,2671.865,0.0,9409.34,6953.8725,7540.605,0.99,1.72,1.3395000000000001,1.33,12.06,19.42,15.298125,15.635
04,16,-,302.17,491.6,418.7355,428.22,307.93,523.7,452.015625,458.635,97.99,322.68,238.4415,254.945,166.54,548.25,402.3585,426.89,147.58,213.32,180.2945,182.10000000000002,863.37,2410.91,1923.7445,1914.9,0.0,6631.47,4254.8705,4371.695,0.92,1.64,1.28,1.31,11.74,19.58,15.358125,15.71
04,17,-,199.2,335.36,276.878,276.83,197.0,327.05,283.305,277.74,57.17,215.23,145.9355,153.235,132.73,496.61,335.396,361.9,104.36,149.54,130.943,134.76999999999998,446.45,1379.96,1019.1655,988.415,0.0,2833.61,1783.9065,1965.06,0.87,1.51,1.155,1.14,11.28,19.34,15.04375,15.504999999999999
04,18,-,104.8,158.02,136.1675,134.98000000000002,94.82,154.65,128.95,128.69,29.63,84.28,61.113,68.355,109.94,321.19,232.772,264.625,56.7,88.12,75.0535,75.69999999999999,-14.7,243.19,138.7375,139.595,0.0,835.11,522.8255,579.41,0.67,1.3,0.9585,0.98,10.6,18.45,14.35125,14.855
04,19,-,20.34,34.07,27.987,29.025,16.77,25.52,22.435624999999998,23.21,0.52,11.54,6.6335,7.01,5.79,85.96,49.657,49.754999999999995,18.38,23.89,21.3505,21.415,-243.88,-225.55,-233.755,-233.39499999999998,0.0,42.15,18.6525,17.744999999999997,0.49,1.01,0.761,0.75,9.67,16.46,12.82875,13.315
04,20,-,0.14,0.51,0.295,0.28,0.1,0.35,0.2025,0.2,0.0,0.0,0.0,0.0,0.0,2.45,0.156,0.0,0.13,0.5,0.2855,0.28,-259.49,-243.03,-253.227,-253.04500000000002,0.0,0.0,0.0,0.0,0.33,1.0,0.5675,0.545,8.45,14.33,11.20875,11.690000000000001
04,21,-,-0.12,0.14,0.0065000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.11,-0.0034999999999999996,0.0,-262.29,-246.9,-255.24699999999999,-255.10500000000002,0.0,0.0,0.0,0.0,0.27,0.78,0.46599999999999997,0.445,7.44,12.76,9.98,10.395
04,22,-,-0.04,0.14,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.1,0.0035,0.0,-263.17,-245.38,-254.9795,-255.33499999999998,0.0,0.0,0.0,0.0,0.21,0.62,0.3715,0.355,6.57,11.34,8.89125,9.245000000000001
04,23,-,0.0,0.11,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.08,0.0055,0.0,-261.81,-247.47,-254.947,-255.515,0.0,0.0,0.0,0.0,0.18,0.56,0.3155,0.305,6.04,10.4,8.01625,8.23
04,24,-,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.03,0.001,0.0,-261.57,-243.69,-254.172,-253.815,0.0,0.0,0.0,0.0,0.13,0.52,0.312,0.32,5.58,9.78,7.3549999999999995,7.475
05,01,-,-0.02,0.04,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.01,-0.0045,0.0,-262.17,-218.79,-252.9145,-253.91500000000002,0.0,0.0,0.0,0.0,0.08,0.31,0.1845,0.185,0.0,11.97,9.600624999999999,10.44
05,02,-,-0.07,0.07,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.04,-0.0095,0.0,-261.65,-219.05,-252.828,-253.055,0.0,0.0,0.0,0.0,0.05,0.27,0.1595,0.155,0.0,11.33,8.935,9.715
05,03,-,-0.13,0.07,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.04,-0.0175,0.0,-260.21,-219.23,-252.575,-253.11,0.0,0.0,0.0,0.0,0.07,0.29,0.1465,0.13,0.0,10.75,8.3725,9.18
05,04,-,-0.19,0.06,-0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.02,-0.0265,0.0,-259.44,-217.32,-251.133,-252.76,0.0,0.0,0.0,0.0,0.06,0.21,0.1275,0.11499999999999999,0.0,10.19,7.861875,8.545
05,05,-,0.98,1.91,1.386,1.375,0.0,1.64,1.21375,1.29,0.0,0.01,0.001,0.0,0.0,4.57,0.5485,0.23500000000000001,0.94,1.9,1.369,1.3599999999999999,-259.2,-218.52,-250.405,-251.61,0.0,0.0,0.0,0.0,0.06,0.21,0.1195,0.11,0.0,9.67,7.426875,8.025
05,06,-,38.26,57.67,47.3075,46.805,0.0,36.76,27.87625,29.245,8.42,26.57,16.7795,16.015,59.65,173.88,112.8255,106.67,25.99,35.28,30.5255,30.590000000000003,-238.68,-185.72,-219.6685,-220.54000000000002,3.11,126.68,58.0445,56.305,0.06,0.24,0.131,0.125,0.0,10.06,7.783125,8.629999999999999
05,07,-,145.68,204.8,176.8555,177.20999999999998,0.0,171.02,136.129375,140.67,55.74,137.68,92.1835,96.2,188.92,465.46,313.453,325.605,66.76,98.54,84.672,83.745,15.83,310.93,166.0555,174.325,129.84,1859.33,1221.94,1355.81,0.09,0.33,0.2075,0.22,0.0,12.06,9.699375,10.719999999999999
05,08,-,288.57,390.28,336.9695,340.08500000000004,0.0,386.31,316.42625,333.57500000000005,128.11,266.55,194.1255,198.35,268.86,566.48,415.27750000000003,422.865,110.17,166.42,142.843,143.415,762.48,1534.56,1193.511,1209.615,415.73,5210.55,3647.784,3970.265,0.19,0.59,0.414,0.42,0.0,14.14,11.51,12.864999999999998
05,09,-,393.51,560.0,496.2725,495.695,0.0,573.32,496.12937500000004,533.4200000000001,174.78,416.33,309.802,321.005,276.08,663.89,494.3455,510.97,143.67,218.73,186.471,191.57999999999998,1370.08,2897.76,2243.5955,2320.745,866.6,8357.36,6110.402,6818.77,0.41,0.92,0.6845,0.715,0.0,16.22,12.905,14.23
05,10,-,505.31,723.7,637.0070000000001,634.99,0.0,767.17,650.446875,691.5899999999999,224.66,568.96,420.7635,420.595,293.25,749.41,554.4245,553.46,154.74,280.65,216.245,206.89,1919.83,3924.74,3050.0415,3146.37,1133.83,11011.5,8111.38,9101.39,0.61,1.17,0.884,0.895,0.0,18.0,14.259375,15.59
05,11,-,644.42,828.02,745.409,749.3199999999999,0.0,883.55,765.3924999999999,828.77,337.69,650.9,509.9745,513.845,393.58,761.96,596.968,601.3199999999999,158.57,313.71,235.434,232.86,2523.9,4479.24,3584.9725,3828.725,1446.65,12426.45,9326.985,10176.814999999999,0.7,1.37,1.029,1.065,0.0,19.7,15.62125,16.93
05,12,-,641.09,897.66,801.6425,805.5550000000001,0.0,957.65,827.158125,883.61,304.63,718.1,552.914,571.0699999999999,333.86,791.69,609.3295,630.23,167.0,336.46,248.7295,246.57,2528.07,4815.6,3821.551,4078.2749999999996,1447.4,13232.98,9870.0385,11009.51,0.84,1.47,1.1575,1.14,0.0,21.33,16.87625,18.39
05,13,-,635.91,893.85,804.1415,808.655,0.0,963.99,825.956875,868.23,318.21,696.48,557.4655,581.315,345.59,762.3,610.3,635.525,189.6,317.69,246.6755,237.89999999999998,2646.85,4742.12,3818.2515,3903.45,1195.06,12995.48,9803.651,10915.470000000001,0.99,1.56,1.252,1.1949999999999998,0.0,22.78,18.025624999999998,19.71
05,14,-,621.13,849.9,759.8355,760.26,0.0,912.35,783.30125,825.77,325.55,659.02,524.535,538.435,370.4,756.14,601.3485000000001,620.69,190.89,299.61,235.3005,226.76999999999998,2525.7,4494.32,3585.9815,3629.7349999999997,831.53,12411.8,9241.8775,10310.985,1.03,1.67,1.298,1.275,0.0,24.01,18.95125,20.75
05,15,-,527.0,754.3,656.012,668.28,0.0,792.18,674.5962499999999,713.53,270.07,580.07,447.4055,463.32500000000005,344.04,736.52,568.318,590.305,164.51,273.29,208.606,203.39499999999998,2044.59,3935.36,3054.5035,3104.71,872.22,10965.91,7722.878,8531.41,0.99,1.6,1.2925,1.27,0.0,24.88,19.55125,21.485
05,16,-,402.54,603.48,516.8555,514.405,0.0,618.6,523.434375,550.16,171.81,447.47,337.247,339.445,261.11,673.8,508.9335,509.07,138.52,235.27,179.6085,177.435,1405.33,3002.1,2272.6639999999998,2293.75,384.69,8108.83,4877.625,4982.48,0.93,1.52,1.2495,1.2149999999999999,0.0,25.24,19.733125,21.65
05,17,-,276.28,434.37,366.2965,372.9,0.0,426.76,352.05625,379.64,116.44,315.05,227.0455,228.54000000000002,233.32,612.95,445.385,445.37,110.76,173.8,139.251,138.79500000000002,816.67,1787.53,1353.96,1350.375,172.38,4004.24,2283.8085,2337.6800000000003,0.8,1.44,1.1325,1.15,0.0,25.06,19.570625,21.535
05,18,-,168.38,260.78,216.906,221.585,0.0,227.99,186.55,198.005,67.46,173.59,122.738,129.66,201.82,507.08,362.7195,382.15,79.2,114.19,94.1705,92.695,183.95,653.9,379.5165,362.99,53.43,1502.76,891.096,954.365,0.71,1.36,0.9905,1.025,0.0,24.53,18.9575,20.865000000000002
05,19,-,59.02,96.17,79.2935,81.33,0.0,69.81,53.66125,55.144999999999996,15.72,49.94,34.0665,34.965,94.31,283.35,192.8195,197.175,40.34,51.74,45.229,44.165,-204.95,-140.84,-170.52349999999998,-169.925,6.94,188.58,116.658,133.725,0.54,0.99,0.79,0.8500000000000001,0.0,22.9,17.660625,19.37
05,20,-,4.82,8.04,6.493,6.4,0.0,5.64,4.411875,4.615,0.15,1.31,0.7125,0.72,2.6,20.45,10.3955,10.07,4.53,7.13,5.774,5.824999999999999,-259.81,-224.7,-252.005,-253.07,0.0,0.84,0.175,0.04,0.47,0.91,0.6415,0.635,0.0,20.27,15.70625,17.33
05,21,-,-0.26,0.09,-0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.05,-0.0385,0.0,-262.23,-228.12,-254.1775,-256.30499999999995,0.0,0.0,0.0,0.0,0.4,0.75,0.533,0.535,0.0,18.32,14.25,15.885
05,22,-,-0.2,0.08,-0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.05,-0.025,0.0,-262.85,-225.53,-254.0025,-256.46,0.0,0.0,0.0,0.0,0.18,0.45,0.34550000000000003,0.365,0.0,16.35,12.85375,14.309999999999999
05,23,-,-0.09,0.08,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.04,-0.0085,0.0,-261.39,-227.02,-253.7055,-255.01,0.0,0.0,0.0,0.0,0.08,0.38,0.23750000000000002,0.235,0.0,14.53,11.563125,12.785
05,24,-,0.0,0.08,0.007500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.05,-0.0014999999999999998,0.0,-261.1,-226.52,-253.522,-254.2,0.0,0.0,0.0,0.0,0.09,0.34,0.216,0.22999999999999998,0.0,13.07,10.550625,11.670000000000002
06,01,-,-0.02,0.07,0.007500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.05,0.001,0.0,-261.98,-246.2,-254.9815,-254.215,0.0,0.0,0.0,0.0,0.08,0.31,0.17200000000000001,0.16,0.0,16.77,12.749375,13.51
06,02,-,-0.04,0.07,0.005000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.05,-0.0005000000000000001,0.0,-261.06,-245.94,-254.652,-253.78,0.0,0.0,0.0,0.0,0.03,0.28,0.1545,0.15,0.0,15.76,11.90625,12.54
06,03,-,-0.07,0.04,-0.004000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,-0.0135,0.0,-261.54,-244.59,-254.1295,-254.24,0.0,0.0,0.0,0.0,0.04,0.22,0.1285,0.13,0.0,14.79,11.175625,11.675
06,04,-,-0.13,0.01,-0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,-0.028,0.0,-260.07,-244.86,-252.85399999999998,-251.51,0.0,0.0,0.0,0.0,0.02,0.22,0.1085,0.09,0.0,13.92,10.536249999999999,10.93
06,05,-,3.41,4.52,3.8495,3.7699999999999996,0.0,4.09,3.26875,3.4050000000000002,0.0,0.03,0.0045,0.0,0.0,4.45,0.944,0.655,3.37,4.51,3.831,3.74,-260.25,-244.73,-253.107,-252.95499999999998,0.0,0.01,0.0005,0.0,0.02,0.26,0.10200000000000001,0.09,0.0,13.29,10.04375,10.375
06,06,-,59.92,96.27,77.6965,79.0,0.0,47.58,36.5125,38.82,25.73,58.76,40.739,41.275,162.5,370.39,253.0045,251.845,31.91,43.23,36.9575,37.065,-234.62,-175.27,-208.331,-209.16,0.0,176.24,89.6015,80.955,0.05,0.25,0.1235,0.1,0.0,14.36,11.03625,11.645
06,07,-,180.77,268.69,222.523,226.98000000000002,0.0,201.68,168.260625,175.565,86.98,202.81,142.08,150.5,267.0,629.79,440.275,468.6,65.89,101.36,80.4425,80.03,52.02,419.5,257.9155,254.455,0.0,2004.21,1506.3975,1555.425,0.06,0.41,0.1985,0.20500000000000002,0.0,17.33,13.285,13.91
06,08,-,326.39,441.45,390.587,391.47,0.0,410.3,351.29875,372.16499999999996,163.46,356.51,269.721,286.49,332.78,722.08,545.462,580.145,80.38,162.93,120.8675,118.97,584.08,1652.21,1371.2640000000001,1442.685,0.0,5183.83,4230.873,4465.35,0.18,0.56,0.38,0.37,0.0,19.58,15.024375,15.74
06,09,-,479.76,619.66,562.354,557.5450000000001,0.0,625.5,540.724375,579.895,284.06,511.55,409.3865,417.725,436.09,785.63,628.8985,641.1700000000001,101.16,254.71,152.9655,151.685,1170.89,2921.61,2466.5285,2561.455,0.0,8410.57,7041.2425,7547.65,0.39,0.99,0.669,0.6599999999999999,0.0,20.92,16.32,17.11
06,10,-,630.35,769.98,710.0025,709.755,0.0,803.17,699.43875,747.7149999999999,428.28,652.21,539.6585,545.9300000000001,548.36,834.76,690.1405,698.84,114.45,239.57,170.343,163.15,1638.44,3854.6,3292.5155,3374.665,0.0,10845.31,9177.6135,9728.77,0.53,1.23,0.8674999999999999,0.8400000000000001,0.0,22.59,17.785625,18.725
06,11,-,722.36,890.38,825.847,826.495,0.0,930.88,821.596875,883.655,503.12,753.87,644.353,656.485,573.16,859.41,734.0745,747.7149999999999,129.89,249.95,181.494,171.57,1996.48,4485.53,3874.5165,4046.7749999999996,0.0,12492.26,10586.125,11290.904999999999,0.63,1.4,1.029,0.995,0.0,24.26,19.2225,20.205
06,12,-,793.94,956.05,883.1715,892.835,0.0,989.61,878.47875,929.925,571.21,808.83,692.7405,710.75,612.45,868.04,743.344,762.4449999999999,136.37,254.14,190.4305,183.565,2065.6,4766.92,4116.287,4267.844999999999,0.0,13231.73,11119.8685,11796.685,0.75,1.58,1.1755,1.1099999999999999,0.0,25.77,20.5475,21.71
06,13,-,800.25,965.23,891.6065,896.575,0.0,998.73,880.5174999999999,944.49,574.9,811.54,702.1595,711.895,610.5,862.74,746.2175,756.795,141.36,239.68,189.4485,183.8,2109.66,4778.43,4118.5065,4298.085,0.0,13212.21,11117.149,11839.6,0.88,1.66,1.2845,1.205,0.0,27.2,21.73375,23.035
06,14,-,749.75,920.74,840.724,851.3050000000001,0.0,956.53,832.196875,888.55,547.57,768.13,658.5405000000001,664.885,605.04,850.49,728.452,735.78,139.31,239.16,182.183,174.535,1996.15,4637.63,3867.2215,4022.17,0.0,12773.51,10461.103,11223.835,0.94,1.69,1.332,1.245,0.0,28.52,22.736875,24.145000000000003
06,15,-,681.81,818.05,742.9685,742.44,0.0,853.24,734.350625,776.3199999999999,471.35,686.41,577.992,575.435,572.19,834.3,701.6745,698.4449999999999,127.23,229.0,164.9755,163.91,1753.07,4032.14,3377.269,3506.525,0.0,11254.33,9021.8255,9715.265,0.93,1.66,1.308,1.2349999999999999,0.0,29.55,23.42375,24.939999999999998
06,16,-,541.94,687.43,605.1375,597.9,0.0,686.07,585.78125,616.315,377.14,572.31,456.1295,457.46,533.63,812.74,646.206,648.325,115.12,195.45,149.0085,146.71,1327.11,3350.73,2629.6155,2750.02,0.0,9247.5,6012.9945,6628.54,0.85,1.64,1.265,1.1749999999999998,0.0,30.08,23.706875,25.285
06,17,-,388.93,499.33,442.283,442.645,0.0,469.79,405.93,433.3,233.49,390.0,317.7915,320.645,417.34,699.79,570.033,574.9649999999999,107.2,155.44,124.4945,124.795,762.38,2142.41,1661.68,1737.32,0.0,5047.29,2910.901,3155.3,0.76,1.6,1.1835,1.1,0.0,29.99,23.55125,25.205
06,18,-,242.99,321.08,286.301,286.515,0.0,271.05,236.163125,253.89499999999998,132.76,240.53,193.787,188.865,340.51,619.18,496.537,484.71500000000003,80.54,110.23,92.513,92.795,149.0,793.93,628.738,646.355,0.0,1895.25,1223.735,1404.495,0.69,1.55,1.1075,1.025,0.0,29.44,22.999375,24.61
06,19,-,111.88,150.54,133.9405,132.625,0.0,96.18,82.825625,88.27,55.86,95.66,80.4025,82.63,250.96,437.05,367.9115,376.58500000000004,47.15,61.24,53.5385,52.555,-191.24,-40.93,-101.9855,-99.695,0.0,372.83,216.1925,250.17000000000002,0.57,1.39,0.94,0.8400000000000001,0.0,28.1,21.849375000000002,23.259999999999998
06,20,-,17.27,26.76,23.288,24.22,0.0,13.62,11.62125,12.09,4.03,11.26,8.3485,8.79,44.37,124.98,91.97,96.13,12.59,17.52,14.935,15.085,-258.23,-242.66,-251.76999999999998,-251.615,0.0,9.06,1.3685,0.87,0.48,1.13,0.8105,0.755,0.0,25.95,19.914375,21.07
06,21,-,-0.19,0.17,0.066,0.08499999999999999,0.0,0.07,0.030000000000000002,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.16,0.0535,0.08499999999999999,-261.31,-247.04,-254.908,-255.31,0.0,0.0,0.0,0.0,0.44,0.84,0.652,0.66,0.0,24.15,18.225625,19.295
06,22,-,-0.31,0.01,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,-0.053,0.0,-262.1,-243.21,-255.064,-255.44,0.0,0.0,0.0,0.0,0.25,0.57,0.433,0.445,0.0,22.11,16.73375,17.7
06,23,-,-0.15,0.05,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.02,-0.028,0.0,-261.65,-246.11,-255.0255,-254.575,0.0,0.0,0.0,0.0,0.14,0.36,0.2585,0.26,0.0,19.94,15.118125,16.075
06,24,-,-0.02,0.03,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.008,0.0,-261.24,-246.45,-254.8325,-254.11,0.0,0.0,0.0,0.0,0.09,0.3,0.1945,0.19,0.0,18.42,13.845,14.625
07,01,-,0.0,0.06,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.03,-0.002,0.0,-263.13,-195.1,-252.007,-254.925,0.0,0.0,0.0,0.0,0.01,0.16,0.098,0.1,0.0,18.93,16.44875,17.84
07,02,-,-0.11,0.09,-0.005000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.06,-0.016,0.0,-263.84,-194.83,-251.843,-253.84,0.0,0.0,0.0,0.0,0.02,0.16,0.07050000000000001,0.06,0.0,17.83,15.389375,16.715
07,03,-,-0.23,0.07,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.03,-0.036500000000000005,0.0,-263.55,-193.99,-251.257,-253.95,0.0,0.0,0.0,0.0,0.01,0.13,0.046,0.04,0.0,16.82,14.49375,15.655000000000001
